Object count,Average FPS,Average RAM Usage
0,351.4175708785439,428.37614391009197
250,179.2358471694339,625.8033967075924
500,115.85676981721042,823.2303046632111
750,85.98426457928771,1021.8426437718305
1000,68.39712391596066,1220.009355783304
1250,56.65268699890898,1417.4376413427613
1500,48.72143743247029,1614.8653901437265
1750,43.08401382696258,1812.2932744186037
2000,38.37675350701403,2009.7211697127857
2250,34.652325010766255,2207.149919075146
2500,31.473648337108838,2404.5774713375854
2750,28.917061066028957,2602.0055640138403
3000,26.74305632067629,2799.4333782771505
3250,24.812157957399123,2996.861221774188
3500,23.22601313471088,3194.2887887930924
3750,21.82881403452557,3391.7166880733967
4000,20.558179648404984,3589.1447609756005
4250,19.460717438407833,3786.5757216494962
4500,18.45036950875891,3984.0033423912914
4750,17.554770885161705,4181.431171428582
5000,16.74991474594291,4378.860550898207
5250,16.009445572888005,4576.926231250006
5500,14.946633496509108,4775.640557046979
5750,14.717955906205571,4973.070639455785
