Object count,Average FPS,Average RAM Usage
50000,81.39523242193366,459.1400386223873
0,337.37422232891237,416.2749330269589
250,291.1669684027326,417.32286392991114
500,315.9126365054602,417.39548755935647
750,312.49062228046137,417.4385617157539
1000,303.33640036804417,417.45300791296717
1250,303.6212534877441,417.50305507246253
1500,296.5593118623725,419.35136131534824
1750,294.17060094422663,419.5102699761894
2000,289.67821311754176,419.536080870161
2250,286.09154929577466,419.896129405598
2500,283.56805633352,423.2191610581974
2750,278.503046127067,423.49525452586977
3000,275.05501100220044,425.03756378181475
3250,271.34070110516575,425.4880699963089
3500,271.35427085417086,425.53660165868007
3750,269.45928104182923,425.5563923162651
4000,268.2268226822682,425.6133148396779
4250,266.9854353393086,425.6407202323008
4500,265.9,425.7080903723186
4750,264.56349523885734,425.74080752362556
5000,262.3445985817589,425.7450684330937
5250,260.92609260926093,425.74679532386136
5500,258.2051641032821,427.0445919442343
5750,257.2385857878682,427.7168182737041
6000,255.79464401828676,427.77599937426373
6250,254.38649140707838,429.4830094376874
6500,252.16051852444585,429.5057804839511
6750,250.50501010020199,429.50638043913125
7000,248.89209007332713,429.534985490353
7250,246.9296315557867,429.5354878088268
7500,244.5366805020753,429.5365755010254
7750,242.8242824282428,429.5437391680431
8000,240.1816617650001,429.54774044148337
8250,237.70475409508188,429.548160033653
8500,234.83522528379257,429.5997003833073
8750,230.86695141591062,429.6011462738298
9000,230.50461009220183,429.663624772241
9250,227.69335427525283,429.6765066783795
9500,224.0380864747007,429.68217151785416
9750,220.8596321006672,429.74264225544033
10000,219.75933502045555,429.7353653618476
10250,216.8,429.7924131457536
10500,216.14322864572915,429.8439989356831
10750,213.89411340990037,429.90861534144614
11000,212.4,430.0553481167618
11250,210.2504601104265,430.20827492863964
11500,208.91462402368165,430.4037149832483
11750,206.84136827365475,430.602128578338
12000,205.27595210227784,430.80547685185314
12250,203.8,430.99407993130507
12500,201.3644366197183,431.1882423248874
12750,199.93998799759953,431.3094263131528
13000,197.84352557562664,431.54680733063793
13250,195.9725098286366,431.71877202653997
13500,193.78526551682742,431.9132973154317
13750,188.3546228406238,431.94168911312175
14000,187.1093554677734,432.20971170497
14250,185.99113565647167,432.26921183431773
14500,183.85883482714468,432.60709368879094
14750,182.07465060674875,432.7050331868122
15000,180.7216866023923,432.898891975651
15250,179.13045217687005,433.07480681183563
15500,177.5088754437722,433.2923053521135
15750,175.95630601792573,433.5057287663459
16000,174.23484696939389,433.6334666475325
16250,173.08481155766324,433.8486460693633
16500,170.88715244774835,434.13952962528725
16750,169.73394678935787,434.26824036535163
17000,168.45390524967988,434.44248693586604
17250,166.79006663598344,434.72299130174235
17500,165.02805476931078,434.85280678787774
17750,164.40028417334574,435.02829689592096
18000,163.66055440512991,435.18598416870003
18250,163.1636338171887,435.245308338445
18500,161.8469356113273,435.48979153275803
18750,160.49790372126998,435.64624407730474
19000,158.9731276387138,435.85429421019666
19250,157.04240144839108,435.9954845222943
19500,154.93718492438185,436.19096862491784
19750,154.1832589598383,436.3801787151221
20000,153.0413211567123,436.4751570588248
20250,151.7667773820481,436.75928602504933
20500,150.83318330032608,436.93301558355597
20750,149.73294124707436,438.7984466933858
21000,148.3400518139898,439.21109831422797
21250,147.43980874836208,439.3509902985074
21500,146.42196329449416,439.5409571721323
21750,145.61747409689164,439.6894889423085
22000,144.65352180306715,439.9224033195027
22250,143.4415980634384,440.04582140864795
22500,142.46981020700142,440.23580828651575
22750,141.74110492042692,440.35695038814424
23000,140.62390606403088,440.59220284495086
23250,139.9,440.69893895639774
23500,138.9847807162369,440.92718963282806
23750,138.24008962599154,441.0398420405225
24000,137.63716203374912,441.2118803052354
24250,136.4136413641364,441.4087166422262
24500,135.24327784891165,441.5938951183437
24750,135.54608566912748,441.6954283394814
25000,134.5067253362668,441.8875027509319
25250,133.522698858806,441.96446014981507
25500,132.4874417115296,442.1717970543813
25750,131.8936444875862,442.2805976479467
26000,130.586186883343,442.40518160919066
26250,129.47639107073175,442.55643284389294
26500,128.83478539205586,442.71008478260677
26750,127.89080246975352,442.83301486698275
27000,127.09659341099236,442.98607039369557
27250,126.40884861940336,443.032609177207
27500,125.77420678200139,443.2622581543332
