Object count,Average FPS
0,278.9055781115622
100,273.4218737499
200,204.48383837373322
300,163.58506423340137
400,137.7206580987148
500,118.77007434386289
600,104.55123010275034
700,93.27555319809046
800,84.29019050383911
900,76.80844892938222
1000,70.27097368342025
1100,64.74337806330242
1200,60.2946626203139
1300,56.33661880222145
1400,52.76067477599239
1500,50.27390263687621
1600,47.10423938154434
1700,44.825102057152
1800,42.90085801716034
1900,40.93725290013913
2000,39.080897457737514
2100,37.381117023941954
2200,35.44075687040096
2300,34.546983898101416
2400,33.23656021623786
2500,31.92905544045081
2600,30.836078211507463
2700,29.771749917300696
2800,28.77798834842423
2900,27.90948922633695
3000,27.046520014424814
3100,26.27514692019175
3200,25.570061969797244
3300,24.8619061463043
3400,24.196787148594375
3500,23.375033858686383
3600,22.866312305686492
3700,22.27909077224146
3800,21.76638748181955
3900,21.292195205238684
4000,20.810405202601302
4100,20.324592757236257
4200,19.88371042087187
4300,19.45583825579413
4400,18.931805433127654
4500,18.702301589695637
4600,18.300915045752287
4700,17.951520864882212
4800,17.554418697963687
4900,17.251928304195626
5000,16.533563133160317
