Object count,Average FPS,Average RAM Usage
0,348.8174408720436,428.9819440653687
250,333.35667063400774,434.23356261625725
500,334.67362819820363,439.48364193066664
750,334.45685766580317,444.6087295753632
1000,334.3,449.7712419084772
1250,333.1499724958744,454.70460531369724
1500,335.0737162175679,459.8487296417842
1750,328.5,464.992976925412
2000,319.41597079853995,470.1372174389396
2250,308.81544077203864,475.28143701422795
2500,301.9301930193019,480.4258468035816
2750,294.37064895574935,485.569974040087
3000,287.84317647647146,490.71411226546184
3250,281.0674561894855,495.85847419928086
3500,273.37927999119745,501.0025091108714
3750,267.86428742898295,506.14683394324254
4000,261.71308565428274,511.2910141383128
4250,254.55091018203643,516.435395756373
4500,249.8374756213432,521.5795564051134
4750,245.4490898179636,526.7237651996753
5000,238.92389238923892,531.867921431561
5250,233.8233823382338,537.0124251496871
5500,228.43426513977096,542.1565459719645
5750,225.87679811135786,547.3008182462304
6000,220.21101055052753,552.4448843324217
6250,216.5108255412771,557.5892269745863
6500,212.07210451553527,562.7333991981161
6750,209.1209120912091,567.8776928263848
7000,204.4490677762663,573.0218546966776
7250,201.07842058402775,578.1661981094395
7500,197.5098754937747,583.3103647594933
7750,194.5856176717756,588.4545633933087
8000,189.5094754737737,593.5991064907541
8250,187.30936546827343,598.7432104644927
8500,184.7369473894779,603.8874989713057
8750,181.6181618161816,609.0315758810492
9000,179.14299431863645,614.1756359017435
9250,176.6423941746019,619.3201202151708
9500,172.7673792779184,624.4644529241506
9750,170.44943033479709,629.6085856807339
10000,168.3572414620971,634.7526573975189
10250,166.13987356965671,639.8972822396181
10500,164.05577896484803,645.049222804869
10750,160.5160516051605,650.1936563862781
11000,158.60793039651983,655.3378393442625
11250,156.83764103384812,660.4822391581843
11500,154.28331298901406,665.6265245784616
11750,152.47471260917848,670.7709195538021
12000,151.23629671121068,675.9148953042326
12250,148.06514866541278,681.0591375000035
12500,145.82187328099215,686.2031606309943
12750,144.20721036051805,691.3476234396587
13000,142.44843246703877,696.4918426966271
13250,141.10705535276765,701.6361503898096
13500,140.12802560512102,706.7804900071465
13750,138.56789827015237,711.9248114801535
14000,135.8,717.0689140648102
14250,134.332239737537,722.2132091586019
14500,133.12662532506502,727.3573873779075
14750,131.65134402416942,732.5019310030287
15000,130.3312795070817,737.6460443591709
15250,128.98771164391786,742.7901896819068
15500,127.17503326962908,747.9343516128979
15750,125.01875281292195,753.0788646400036
16000,124.04217433927535,758.2227755645152
16250,122.69570264806549,763.3671396411008
16500,121.7121712171217,768.5108792111723
16750,120.61809271390709,773.6553246268634
17000,119.61794269140371,778.7994233277535
17250,118.71780767115067,783.9477506318377
17500,117.22344468893779,789.0916366894226
17750,115.36806715962419,794.234766955778
18000,114.4114411441144,799.3798170454518
18250,113.1611069977788,804.5271853227247
18500,112.34381408749412,809.6713519145209
18750,111.43231537145773,814.814487881524
19000,110.51657748662299,819.9598740271435
19250,109.40547027351369,825.104257221205
19500,108.58469606292908,830.2452269124371
19750,113.78875522907867,835.3896402814366
20000,112.89370177247115,840.5339060283696
20250,112.00560028001401,845.6779970535744
20500,110.86984800424267,850.8222845667791
20750,110.13193826209601,855.9668406902742
21000,109.14802513105766,861.1105937671693
21250,108.33683452373806,866.2550440443198
21500,107.36764161421695,871.3977041938351
21750,106.44151218975401,876.5434817669276
22000,104.8,881.687544561062
22250,104.4156623493524,886.830520498089
22500,103.62072414482897,891.9761837837874
22750,102.78531180880131,897.120449172354
23000,102.010201020102,902.2645765686284
23250,101.27392996887728,907.4087644268755
23500,100.44922011785775,912.551626095609
23750,99.73390952923994,917.6974387161413
24000,99.05844448224452,922.8417072727289
24250,98.3,927.9856971515701
24500,97.2,933.1298490740727
24750,96.54247869062388,938.2742134715073
25000,95.61912382476496,943.4183471757256
25250,94.98833915541454,948.5614505795631
25500,94.3094309430943,953.7054943796326
25750,93.66369131009087,958.8512565170806
26000,92.96786654257609,963.9953283100099
26250,92.48601199115177,969.1397202381013
26500,91.79822409978676,974.2835382770035
26750,91.02184524285828,979.4279397802234
27000,89.79608180753407,984.5721202898496
27250,89.03917723798472,989.7194248314552
27500,88.54338625926704,994.8622841807802
27750,88.07310067355905,1000.0078968181778
28000,87.59810988306904,1005.1520205714233
28250,86.99308259838027,1010.2965466052757
28500,86.47177157040343,1015.4374791666697
28750,85.9584517471881,1020.5815681024526
29000,85.23324096397594,1025.7245528169078
29250,84.89083319151491,1030.868983490563
29500,84.32867174839444,1036.0146358244297
29750,83.59362485984303,1041.1587197604913
30000,82.66034204969628,1046.3027663438359
30250,82.3123468520278,1051.4476014580903
30500,81.79160659939133,1056.591511627911
30750,81.29511528488331,1061.7358017241354
31000,80.67502777583152,1066.8802791563314
31250,80.12323573836413,1072.022911360802
31500,79.65017961315628,1077.1687223617942
31750,79.20792079207921,1082.312776515155
32000,78.76931699895908,1087.4566848792974
32250,78.28062904791936,1092.6014910486085
32500,78.01872449387852,1097.745721794868
32750,77.46429536515308,1102.8884108527213
33000,76.48183556405354,1108.0338612565538
33250,75.83716020850216,1113.17684960422
33500,75.62949550324626,1118.3225661375764
33750,75.28808706186237,1123.466587765962
34000,74.83292648765457,1128.6109465240588
34250,74.31783628070737,1133.7553566621843
34500,73.95028619461233,1138.8994181325963
34750,73.45362114343472,1144.0438010899038
35000,73.01460292058412,1149.1877219178102
35250,72.7210891158436,1154.332497936743
35500,72.39193776095642,1159.4765726141231
35750,71.81077161574237,1164.620745125347
36000,71.17972128784238,1169.7647496483796
36250,70.8070807080708,1174.9087853107421
36500,70.20351017550878,1180.0518632478613
36750,69.84400172108428,1185.1967779369584
37000,69.49172908238874,1190.341629683005
37250,69.34715606612497,1195.4857936507842
37500,68.93722610209512,1200.6301030478887
37750,68.61646795230855,1205.774058309038
38000,68.33348340686936,1210.9185212298528
38250,67.9564038151666,1216.065553755506
38500,67.08855689510153,1221.2084701492454
38750,66.84879962372533,1226.352612275442
39000,66.70333516675834,1231.4969355322348
39250,66.68468955573579,1236.6394729729682
39500,65.78683862698762,1241.7839056316727
39750,65.45760269036752,1246.9279510703411
40000,65.14429812272346,1252.0724777265832
40250,64.86941026898782,1257.2165401234645
40500,64.52193745873596,1262.3637069767494
40750,64.1847238354628,1267.5079469578752
41000,63.696181233662834,1272.650603773596
41250,63.42156333153272,1277.7966687696992
41500,63.05864453942166,1282.9404444444267
41750,63.06495690561279,1288.0817349206416
42000,62.748944176457634,1293.2259505582117
42250,62.4455852772524,1298.3704487179446
42500,62.085056527442596,1303.5144677419305
42750,61.89965845010467,1308.6588592233113
43000,60.62364322085613,1313.8017739273848
43250,60.93595221180497,1318.9475435139652
43500,60.64123604050754,1324.0914950495123
