Object count,Average FPS
0,290.5610178137409
100,276.2441990718515
200,205.9020590205902
300,164.3887699357653
400,138.1524979492207
500,119.16554104757616
600,104.8503281575156
700,93.58984625240231
800,84.56511513865676
900,77.06550567982785
1000,70.87016145984525
1100,65.55441016043316
1200,60.95424928186086
1300,56.99461105435022
1400,53.552481431803166
1500,50.47621909082715
1600,47.72099723878507
1700,45.26835521637673
1800,43.05079994393384
1900,41.06200362547447
2000,39.225104066602626
2100,37.552197554600895
2200,36.061665447915935
2300,34.64052941942072
2400,33.3366703373711
2500,32.13116723221525
2600,31.013025470697695
2700,29.965324407207714
2800,29.010153553743812
2900,28.09608862309097
3000,27.227227227227228
3100,26.421930202067717
3200,25.669821915610463
3300,24.958152495314085
3400,24.307049044222826
3500,23.660096645479516
3600,23.053946234188
3700,22.47687089847278
3800,21.922141362776404
3900,21.403424547927667
4000,20.904808105864348
4100,20.454203639645062
4200,19.9981911183913
4300,19.588540201711737
4400,19.174781648428873
4500,18.779059841934544
4600,18.399356525236275
4700,18.027943312133807
4800,17.683643634390666
4900,17.343010666452805
5000,17.038165490699164
5100,16.72391519873419
5200,16.4233211159847
5300,16.133557800224466
5400,15.858517931166002
5500,15.567719580173756
5600,15.323444870652098
5700,15.070984336223614
5800,14.82446035959333
5900,14.602920584116823
6000,14.37966333487521
6100,14.159611966378453
6200,13.9437834801276
6300,13.738054410717687
6400,13.537634624255428
6500,13.339083514698064
6600,13.153402815430647
6700,12.970299020692151
6800,12.792489700534867
6900,12.621835775892295
7000,12.46005747703933
7100,12.29975098045146
7200,12.135800611804825
7300,11.983404495287198
7400,11.829692528245898
7500,11.680125662041606
7600,11.532521711225657
7700,11.39813796790365
7800,11.259902682269676
7900,11.12425086688982
8000,11.004732034774953
8100,10.882927910679378
8200,10.756255214773265
8300,10.635415935063763
8400,10.518091116720761
8500,10.400936084247581
8600,10.293776302112244
8700,10.180733214390113
8800,10.069276623167392
8900,9.96477101157524
9000,9.862528430247771
9100,9.760024148513358
9200,9.662321976750038
9300,9.573235249659898
9400,9.476666229799074
9500,9.370938000665033
9600,9.29274156077655
9700,9.195820449079408
9800,9.104187926446166
9900,9.019301304792256
10000,8.940859728961353
