Object count,Average FPS,Average RAM Usage
0,369.42216532991984,424.58145977260233
250,326.0293426408377,424.5805269631918
500,317.90635812716255,426.174391255117
750,314.51572578628935,426.50211170111623
1000,308.4215895112658,426.5023766536931
1250,305.75197783623213,426.50280523388153
1500,294.6589317863573,426.5031504412749
1750,277.1471150095516,426.5036272464726
2000,276.25525105021006,426.50365115858654
2250,280.0812235548309,426.5041478214315
2500,283.0905889884763,426.50425501765847
2750,280.42804280428044,426.5037896932863
3000,276.9747831914617,426.50542210185495
3250,275.67994718468356,426.50621709000086
3500,273.95479095819167,426.50766929535865
3750,268.45369073814766,426.50917693741144
4000,263.27635014154106,426.5143080547142
4250,255.7997619071438,426.54696030504755
4500,250.7426262464619,426.6120538492195
4750,246.0418271106088,426.64631943088415
5000,239.5479095819164,426.6503530271375
5250,234.9634401288348,426.652646700729
5500,230.51613612952906,426.6496971800582
5750,226.6611985236014,426.69421509269165
6000,220.22642717126058,426.6942273387991
6250,215.81079053952698,426.69491733088245
6500,213.24264852970595,426.71837204503566
6750,208.8856431136766,426.7180927203043
7000,204.2347199023834,426.74722438785176
7250,201.13419281277817,426.74704351069863
7500,197.62964444666702,426.74987191295236
7750,193.86591441089968,426.75627610939057
8000,189.7645199367785,426.7573952029483
8250,186.51305591391397,426.76009774798877
8500,184.022082649918,426.8131107065195
8750,180.94342642234136,426.8112451630726
9000,178.5,426.8687907563014
9250,176.01232086246037,426.8751113068203
9500,171.9550256081946,426.9035507271644
9750,169.7747008683821,426.92227430759885
10000,167.32844583579208,426.9273982665843
10250,165.03300660132027,426.98564860604995
10500,163.40817040852045,427.0078231946215
10750,159.24618139260386,427.1383513819131
11000,157.22672854385246,427.35200108142186
11250,155.05737122735414,427.4503667096766
11500,153.15207170437947,427.5571082299157
11750,151.36660130457403,427.8393984137486
12000,149.5,427.9990666220755
12250,146.30292605852117,428.2031609022548
12500,144.25337374828686,428.3354776005552
12750,142.84571062740076,428.4964040616266
13000,141.1098776914384,428.7202496810782
13250,139.57816377171216,428.8946958422954
13500,137.84686793509792,429.1229108127713
13750,135.8298825741663,429.1835760677457
14000,133.13861019695713,429.3538404958663
14250,131.68296026496694,429.55438761398216
14500,130.15987354182923,429.73808816295235
14750,128.65274762652686,429.8983436236395
15000,127.71915787368106,429.9292075959279
15250,126.4708236612503,430.2656882120254
15500,125.08255448596074,430.4394447999993
15750,122.4955465262905,430.52775302287506
16000,121.3242648529706,430.7451017312438
16250,120.17330571648705,430.9731969192341
16500,118.60593029651483,431.04976500843327
16750,117.73414290144142,431.31333908241123
17000,116.87129148780757,431.49169631849367
17250,115.66477227247258,431.58929930796063
17500,114.56759488097978,431.7746159825334
17750,112.17627987031182,431.8799055307768
18000,111.38465233577519,432.13533414195894
18250,110.32427133969473,432.3347048957376
18500,108.99046208352934,432.4967317722689
18750,108.2,432.5997397412193
19000,107.05245570329461,432.75727158878476
19250,106.39043186708702,432.97527714016996
19500,104.96927972461826,433.1351624404208
19750,111.23559539052496,433.30175800359814
20000,110.04511849858442,433.4520230909086
20250,109.13492317541613,433.68345114573947
20500,108.24004881806269,433.8196040665427
20750,107.26543191346721,434.05675186567134
21000,106.37552662390297,434.1688773283159
21250,104.8104810481048,434.35653587786203
21500,104.8,434.547243225191
21750,103.530023706875,434.69885874396147
22000,102.1623190145989,434.796528991185
22250,101.54671148728416,434.951253399015
22500,100.58147099150312,435.15837791044856
22750,99.73390952923994,435.3092357071214
23000,98.92671021175718,435.5510811931244
23250,97.9,435.5911964249238
23500,97.25738185529462,435.74252448559696
23750,96.67056951574651,435.95695372670986
24000,95.94701403687806,436.1267702815435
24250,94.98833915541454,436.2263988408843
24500,94.05549274071703,436.49687563829946
24750,93.32986555697823,436.6484189710608
25000,92.59537323443148,436.7713356756748
25250,91.90643345034152,436.93649477693145
25500,91.28489495230563,437.08054495614215
25750,90.49049049049049,437.2594402654867
26000,89.82874519846351,437.4044648106918
26250,89.25623142579825,437.4955767937202
26500,88.55401795095008,437.66326033897957
26750,87.8474376163128,437.83021890660456
27000,86.68495125222718,437.90377124711625
27250,86.1086108610861,438.0742471544771
27500,85.4897642524651,438.2369914519937
27750,84.91443545402718,438.33344334510844
28000,84.2328508118166,438.50583028503485
28250,83.56099952965666,438.61106838323155
28500,82.7670413034558,438.83850217654395
28750,82.53631597903077,438.8266312727261
29000,82.05415574279024,439.0159364634152
29250,81.47985025324819,439.1242396805879
29500,80.78644149239686,439.32796146220625
29750,80.27867309963764,439.4579744389019
30000,79.45800434317051,439.57880654911736
30250,78.88835495755247,439.8342313451785
30500,78.36347441427557,439.93443346104766
30750,77.80544638124668,440.125222107969
31000,77.38512363599959,440.22257542044025
31250,76.86379695146972,440.4520799479165
31500,76.33358677818241,440.5422659239843
31750,75.88119287637772,440.71272744063333
32000,75.4,440.872400530503
32250,74.97722654333964,441.0624793057418
32500,74.5,441.20368765100693
32750,74.01628358238813,441.34667554054033
33000,73.08551004675469,441.4449338356152
33250,72.69959844987633,441.6419541322309
33500,72.24912940799744,441.81694362880876
33750,71.8740302511587,441.99962075208936
34000,71.47361782636116,442.1187215686272
34250,71.10853302396288,442.3157606188471
34500,70.57268987056669,442.50038709219865
34750,70.25339257835955,442.6511660968665
35000,69.83421876719592,442.8887358166187
35250,69.48338005606729,443.02532910662876
35500,69.09120038450754,443.1959511594201
35750,68.67210571099655,443.3892932944606
36000,67.8875749717135,443.5263665191741
36250,67.66428106701366,443.63519127219024
36500,67.25918808551526,443.87742812500045
36750,66.94418316088618,443.99379551569587
37000,66.63065009904557,444.2329543543545
37250,66.27290019020923,444.3360110271898
37500,65.74668014290145,444.4522589041097
37750,65.55309800938761,444.6913693129774
38000,65.2130426085217,444.9108519938656
38250,64.92856857017088,445.00445177195706
38500,64.57555339747505,445.2008674418607
38750,64.33795939604367,445.344981959564
39000,64.01728466686006,445.4935195312505
39250,63.58202080684082,445.68070188976384
39500,62.97052699022906,445.7898313195554
39750,62.636955803924316,446.01884872204477
40000,62.39608997856699,446.17848940609946
40250,62.1,446.3285428341377
40500,61.77536594645468,446.48690226904347
40750,61.350921264649664,446.6826628058726
41000,61.059838641869035,446.72513442622943
41250,60.75346304748179,448.2302278418446
41500,60.329561485127705,449.10772388059803
41750,60.25000750623017,449.31942691029946
42000,60.2910394695991,449.49220315614645
42250,60.27232679215059,449.46608172757516
42500,60.1,449.6897963394345
42750,59.75078816994445,449.7664765494144
43000,59.25925925925926,450.0227456081077
43250,59.066154092583695,450.164228474577
43500,58.811762352470495,450.4227926870745
43750,58.35426947060766,450.5468886792447
