Object count,Average FPS
0,289.4752635685278
250,298.5388100453059
500,270.44056608491275
750,250.63258223569065
1000,234.62580883897226
1250,220.2088083523341
1500,208.4062521875656
1750,198.6158892711417
2000,187.8262956813954
2250,178.90894544727237
2500,170.95470550576184
2750,163.18812158565626
3000,155.43264085457946
3250,150.71959354716114
3500,142.7885288879105
3750,136.93286388733296
4000,133.1945681433818
4250,128.28338419972982
4500,123.40863860470233
4750,119.41313544489893
5000,115.3957784961518
5250,110.98879103282626
5500,107.82372121866811
5750,102.17970016612958
6000,100.33913226158201
6250,96.63672195434265
6500,94.2471235617809
6750,90.54346086121338
7000,89.02314601796466
7250,85.77719947953157
7500,85.24262131065534
7750,82.93566233480396
8000,80.79048534358482
8250,79.51272203552568
8500,77.07244810121514
8750,76.10989428625722
9000,73.83617972806675
9250,72.8422485041324
9500,70.40352017600881
9750,69.86497442621638
10000,67.6615720305478
10250,66.3398038823294
10500,65.80592253302797
10750,64.06278152589537
11000,63.03782269361617
11250,61.56156156156156
11500,60.67645232993572
11750,59.47970280175436
12000,58.8470776621297
12250,57.19379782843865
12500,56.55995355076381
12750,55.1226002661091
13000,54.80657678921471
13250,53.34480964009768
13500,52.56886521342959
13750,51.90311418685121
14000,51.255868897097834
14250,50.43833313318122
14500,49.870816559514516
14750,48.89142696843097
15000,48.41549295774648
15250,47.206136797783714
15500,46.16694206599569
15750,45.74391415759129
16000,45.38214167643435
16250,44.22299595789811
16500,43.527422276033896
16750,43.04476655721951
17000,41.759716394444055
17250,42.20295420679447
17500,41.264785713570305
17750,41.028720104072846
18000,40.28863499699339
18250,40.03162498373715
18500,39.16540622840143
18750,38.87658687614601
19000,37.78918247063069
19250,37.8856215046004
19500,37.296598189310316
19750,36.73416277137738
20000,36.44190819442359
20250,36.02377569195669
20500,35.714285714285715
20750,34.940880830571764
21000,34.86624586714758
21250,33.97202068384976
21500,33.902712216977356
21750,33.47666155496086
22000,33.34234477786789
22250,32.908885399057745
22500,32.29041315683915
22750,32.05866736127113
23000,31.64176713261505
23250,31.464186941360378
23500,30.86512541462486
23750,30.658250676284943
24000,30.102408192655414
24250,30.1
24500,29.537216893285542
24750,29.47457066377936
25000,29.10174610476629
25250,28.81671369394249
25500,28.425298515678957
25750,28.17833577345019
26000,28.14869724623599
26250,27.646446029329272
26500,27.43594108281849
26750,26.830586869030697
27000,27.081786996730127
27250,26.58533893799095
27500,26.45423117390651
27750,26.328698281126428
28000,25.966474173885146
28250,25.751761039689775
28500,25.49432901736425
28750,25.24063742625627
29000,25.075728700676045
29250,24.94290179108066
29500,24.442774855997996
29750,24.35528650035581
30000,24.00912346691743
30250,24.100983119269742
30500,23.818578491223153
30750,23.464998044583496
31000,23.426237385872177
31250,23.1716002447563
31500,23.074530734271697
31750,22.73979464062109
32000,22.68370286356656
32250,22.568834946587092
32500,22.24203745078198
32750,22.222444669115806
33000,21.77709090179234
33250,21.78714859437751
33500,21.74479427620899
33750,21.640901303463547
34000,21.348247038306575
34250,21.37223816499769
34500,20.959945443969755
34750,20.91254752851711
35000,20.5850161165614
35250,20.48275031125748
35500,20.24352357568773
35750,20.244335093855543
36000,20.145326985717865
36250,20.004801152276546
36500,19.806338028169012
36750,19.695127465659134
37000,19.638884992284723
37250,19.643805686681297
37500,19.401746157154143
37750,19.261444006380355
38000,19.129267779702946
38250,19.069795451351947
38500,18.87171250752861
38750,18.892383756569625
39000,18.563300855918683
39250,18.702992478796606
39500,18.39048116734333
39750,18.520187003834177
40000,18.21821821821822
40250,17.950620750516457
40500,18.00882432391872
40750,17.955302331180032
41000,17.578046526578007
41250,17.245528194433305
41500,17.289907519099316
41750,16.830125925406477
42000,16.786450218625927
42250,16.88696788460572
42500,16.75966440528281
42750,16.74689129562776
43000,16.48589149468732
43250,16.616283958279112
43500,16.422169929404696
43750,16.21637854232775
44000,16.104348174006983
44250,16.349047141424272
44500,15.860428231562253
44750,16.17310242295174
45000,16.056035564118776
45250,15.885783229438971
45500,15.673508756065951
45750,15.76447670974285
46000,15.499194847020934
46250,15.464486910416438
46500,15.636119435896921
46750,15.30061202448098
47000,15.280221161095753
47250,15.281296497365988
47500,15.206082432973188
47750,15.122381124063613
48000,14.979842560849328
48250,14.65995923326405
48500,14.786501031031536
48750,14.67734963256361
49000,14.692858868046052
49250,14.803029082413598
49500,14.425533193752942
49750,14.586351199098665
50000,14.316750598199892
