TotalFrame,Time,DeltaTime,FPS
307903,0.0000,0.013538,73.86
307904,0.0000,0.013538,73.86
307905,0.0200,0.020000,50.00
307906,0.0330,0.012940,77.28
307907,0.0454,0.012466,80.22
307908,0.0575,0.012111,82.57
307909,0.0693,0.011833,84.51
307910,0.0812,0.011764,85.01
307911,0.0929,0.011730,85.25
307912,0.1045,0.011626,86.01
307913,0.1163,0.011828,84.55
307914,0.1283,0.011929,83.83
307915,0.1400,0.011825,84.56
307916,0.1519,0.011781,84.88
307917,0.1637,0.011792,84.80
307918,0.1754,0.011710,85.40
307919,0.1869,0.011556,86.53
307920,0.1989,0.011950,83.68
307921,0.2107,0.011856,84.34
307922,0.2225,0.011840,84.46
307923,0.2344,0.011797,84.76
307924,0.2462,0.011877,84.20
307925,0.2584,0.012142,82.36
307926,0.2701,0.011779,84.89
307927,0.2817,0.011629,85.99
307928,0.2935,0.011677,85.64
307929,0.3055,0.012084,82.75
307930,0.3173,0.011711,85.39
307931,0.3287,0.011494,87.00
307932,0.3406,0.011860,84.32
307933,0.3524,0.011852,84.38
307934,0.3643,0.011778,84.90
307935,0.3759,0.011662,85.75
307936,0.3877,0.011788,84.83
307937,0.3995,0.011835,84.49
307938,0.4114,0.011832,84.52
307939,0.4236,0.012217,81.85
307940,0.4355,0.011972,83.53
307941,0.4474,0.011795,84.78
307942,0.4592,0.011849,84.40
307943,0.4709,0.011800,84.75
307944,0.4824,0.011451,87.33
307945,0.4944,0.011957,83.63
307946,0.5062,0.011844,84.43
307947,0.5181,0.011767,84.98
307948,0.5297,0.011616,86.09
307949,0.5411,0.011505,86.92
307950,0.5532,0.012115,82.54
307951,0.5649,0.011756,85.06
307952,0.5765,0.011549,86.59
307953,0.5886,0.012103,82.62
307954,0.6008,0.012148,82.32
307955,0.6125,0.011728,85.27
307956,0.6244,0.011807,84.70
307957,0.6361,0.011733,85.23
307958,0.6479,0.011856,84.35
307959,0.6598,0.011888,84.12
307960,0.6715,0.011741,85.17
307961,0.6835,0.011946,83.71
307962,0.6953,0.011759,85.04
307963,0.7073,0.011966,83.57
307964,0.7191,0.011912,83.95
307965,0.7307,0.011603,86.18
307966,0.7429,0.012132,82.43
307967,0.7548,0.011862,84.30
307968,0.7664,0.011628,86.00
307969,0.7786,0.012216,81.86
307970,0.7911,0.012512,79.93
307971,0.8037,0.012580,79.49
307972,0.8152,0.011462,87.25
307973,0.8269,0.011757,85.06
307974,0.8387,0.011833,84.51
307975,0.8508,0.012077,82.80
307976,0.8623,0.011550,86.58
307977,0.8740,0.011666,85.72
307978,0.8860,0.011947,83.71
307979,0.8976,0.011593,86.26
307980,0.9091,0.011528,86.74
307981,0.9210,0.011938,83.76
307982,0.9332,0.012182,82.09
307983,0.9448,0.011612,86.12
307984,0.9565,0.011706,85.43
307985,0.9685,0.011946,83.71
307986,0.9802,0.011741,85.17
307987,0.9919,0.011680,85.61
307988,1.0037,0.011780,84.89
307989,1.0156,0.011915,83.93
307990,1.0272,0.011685,85.58
307991,1.0399,0.012621,79.23
307992,1.0521,0.012186,82.06
307993,1.0642,0.012084,82.75
307994,1.0759,0.011775,84.92
307995,1.0880,0.012022,83.18
307996,1.1000,0.012059,82.93
307997,1.1113,0.011331,88.26
307998,1.1233,0.011945,83.72
307999,1.1350,0.011699,85.47
308000,1.1467,0.011743,85.15
308001,1.1584,0.011663,85.74
308002,1.1702,0.011767,84.99
308003,1.1821,0.011987,83.42
308004,1.1938,0.011760,85.03
308005,1.2056,0.011697,85.49
308006,1.2174,0.011832,84.52
308007,1.2292,0.011858,84.33
308008,1.2411,0.011804,84.72
308009,1.2527,0.011531,86.72
308010,1.2645,0.011937,83.77
308011,1.2762,0.011679,85.62
308012,1.2880,0.011729,85.26
308013,1.2996,0.011624,86.03
308014,1.3115,0.011932,83.81
308015,1.3232,0.011770,84.96
308016,1.3348,0.011539,86.66
308017,1.3466,0.011705,85.43
308018,1.3583,0.011698,85.49
308019,1.3702,0.011979,83.48
308020,1.3817,0.011516,86.84
308021,1.3936,0.011771,84.96
308022,1.4055,0.011975,83.51
308023,1.4176,0.012065,82.89
308024,1.4294,0.011922,83.88
308025,1.4410,0.011592,86.27
308026,1.4531,0.012057,82.94
308027,1.4651,0.011932,83.81
308028,1.4768,0.011701,85.47
308029,1.4884,0.011705,85.43
308030,1.5002,0.011774,84.93
308031,1.5121,0.011875,84.21
308032,1.5238,0.011700,85.47
308033,1.5356,0.011898,84.05
308034,1.5475,0.011802,84.73
308035,1.5594,0.011910,83.97
308036,1.5710,0.011652,85.82
308037,1.5833,0.012131,82.43
308038,1.5952,0.012056,82.94
308039,1.6069,0.011732,85.24
308040,1.6189,0.011905,84.00
308041,1.6309,0.011952,83.67
308042,1.6426,0.011797,84.77
308043,1.6544,0.011753,85.08
308044,1.6659,0.011550,86.58
308045,1.6779,0.011873,84.23
308046,1.6896,0.011740,85.18
308047,1.7015,0.011989,83.41
308048,1.7133,0.011726,85.28
308049,1.7251,0.011843,84.44
308050,1.7368,0.011694,85.51
308051,1.7487,0.011861,84.31
308052,1.7603,0.011598,86.22
308053,1.7726,0.012324,81.14
308054,1.7844,0.011860,84.31
308055,1.7961,0.011749,85.11
308056,1.8080,0.011778,84.90
308057,1.8198,0.011898,84.05
308058,1.8317,0.011823,84.58
308059,1.8435,0.011782,84.88
308060,1.8552,0.011773,84.94
308061,1.8674,0.012126,82.46
308062,1.8794,0.011985,83.44
308063,1.8912,0.011875,84.21
308064,1.9028,0.011541,86.65
308065,1.9146,0.011711,85.39
308066,1.9272,0.012769,78.31
308067,1.9390,0.011681,85.61
308068,1.9507,0.011686,85.58
308069,1.9622,0.011542,86.64
308070,1.9742,0.012037,83.08
308071,1.9861,0.011838,84.47
308072,1.9979,0.011887,84.13
308073,2.0100,0.012027,83.14
308074,2.0217,0.011713,85.37
308075,2.0336,0.011891,84.10
308076,2.0450,0.011453,87.31
308077,2.0568,0.011738,85.19
308078,2.0688,0.012073,82.83
308079,2.0808,0.012011,83.26
