Object count,Average FPS
0,288.35190334260164
250,318.59557867360206
500,314.4660378679523
750,311.41245649826
1000,303.71822309338563
1250,302.06343332099743
1500,296.55634570568407
1750,289.44920636508203
2000,288.2259403346301
2250,283.61418070903545
2500,279.72797279727973
2750,276.46082138070375
3000,273.16282745031356
3250,270.22702270227023
3500,272.27623734645704
3750,268.79407792727454
4000,262.91840428830017
4250,255.16123869728733
4500,250.50751522545676
4750,245.86146536634158
5000,239.33350669093673
5250,234.92819138296596
5500,230.39215686274508
5750,225.90903636145447
6000,220.45952407149932
6250,216.63682826080432
6500,212.88941355369258
6750,210.53579108448434
7000,205.5472758734509
7250,201.69076084237906
7500,199.12986948042206
7750,195.5312850056009
8000,190.59720457433292
8250,187.71126267576057
8500,184.93513767615846
8750,182.1710467082162
9000,179.56464327157778
9250,176.43352236925014
9500,172.3224019122486
9750,169.82547382107316
10000,167.7553592685586
10250,165.58113475603045
10500,163.24244303518913
10750,159.76870054123273
11000,157.75837059712094
11250,155.9701865839628
11500,154.42625246291868
11750,152.5549197711176
12000,150.631632642855
12250,147.53983575565402
12500,146.18478717656242
12750,144.62892578515704
13000,143.0015310870718
13250,141.5509583450042
13500,139.83216139712133
13750,138.1967377164015
14000,134.95533168599124
14250,133.62672534506902
14500,132.44900613226895
14750,131.13015993678545
15000,129.80124497107744
15250,128.56556843990435
15500,127.34839238910786
15750,125.21627811615511
16000,124.10248204964098
16250,122.7773497303301
16500,121.87922149397109
16750,120.74829931972789
17000,119.63230072119474
17250,118.60593029651483
17500,117.5282067696247
17750,115.04371661231268
18000,113.99689736275835
18250,112.97795478880427
18500,111.77041536167785
18750,110.98545880327852
19000,109.81866917375953
19250,108.7543771885943
19500,107.85392696348175
19750,113.73298256494384
20000,112.87110879854308
20250,111.855927963982
20500,111.12333590053912
20750,110.15948612250615
21000,109.25353423177356
21250,108.3259982395775
21500,107.47630817880695
21750,106.68321290606673
22000,104.96087730883913
22250,104.17709104737506
22500,103.34237037185245
22750,102.50147646169708
23000,101.67320470738932
23250,100.88575288995646
23500,100.04602116973808
23750,99.26948864204944
24000,98.46991363868347
24250,97.70195403908077
24500,96.62415603900975
24750,95.85751450870522
25000,95.10665746602263
25250,94.40755260420833
25500,93.75625375225135
25750,92.95298320042423
26000,92.29044463574303
26250,91.41645496189314
26500,90.92454962839967
26750,90.30632144250097
27000,89.0427405154474
27250,88.4778605172552
27500,87.99415374450662
27750,87.24973234743803
28000,86.68668668668668
28250,85.55732340668249
28500,85.47521819200898
28750,84.92972540389137
29000,84.36411672871382
29250,83.83353341336534
29500,83.23412599165657
29750,82.78775502032154
30000,81.83600784345113
30250,81.38545472746384
30500,80.76784498979143
30750,80.24172569736263
31000,79.75822350315731
31250,79.11582316463293
31500,78.64325378958426
31750,78.15158004282827
32000,77.5931117340809
32250,77.18181272148477
32500,76.38861078851467
32750,75.89790830170921
33000,74.80748074807481
33250,74.42530460356521
33500,74.00518036262538
33750,73.60662459621366
34000,73.17024343369636
34250,72.76330407454485
34500,72.34485380936181
34750,71.95540566236002
35000,71.57443741491151
35250,71.2035601780089
35500,70.82691422740642
35750,70.38516605092161
36000,69.78933034283884
36250,69.40832899947995
36500,68.71786664532777
36750,68.7494996397406
37000,68.42121057527834
37250,68.06806806806807
37500,67.68596117068678
37750,67.3235632471365
38000,67.19205311276448
38250,66.8554900567471
38500,66.49309032645704
38750,66.17345253231088
39000,65.84741013529741
39250,65.51703442895152
39500,64.8817510062679
39750,64.62908308738933
40000,64.25268720350688
40250,63.9063906390639
40500,63.5922087026188
40750,63.313929064394166
41000,62.9547706504659
41250,62.663289922822045
41500,62.42309654572192
41750,62.075110884169845
42000,61.78217028648101
42250,61.53507499274586
42500,61.229390107251476
42750,60.934123108941
43000,60.431424340657145
43250,60.1788342728975
43500,59.888635180066494
43750,59.519046094750315
44000,59.28240253952995
44250,59.15205380735048
44500,58.76287627761705
44750,58.580254949280516
45000,58.26642372304427
45250,57.945197253858005
45500,57.7537109511846
45750,57.58810980800625
46000,57.267575739372454
46250,57.025091040057625
46500,56.79314075083137
46750,56.168525601233505
47000,55.88606453939066
47250,55.712813947207856
47500,55.43880716501551
47750,55.222641282926
48000,54.973664710712356
48250,54.76297742403764
48500,54.532173982649766
48750,54.28740271837658
49000,54.06650179721057
49250,53.823682420264916
49500,53.57393202619615
49750,53.398252785124626
50000,53.22608077958199
