Object count,Average FPS
0,272.4790189154855
250,319.8319831983198
500,307.35839809563817
750,309.9154957747888
1000,319.8671721061423
1250,318.9191351481089
1500,320.5
1750,319.5031950319503
2000,319.6054698050356
2250,319.97359392660314
2500,319.0670040708549
2750,319.7031970319703
3000,320.4032040320403
3250,317.36664699586913
3500,319.3095792873786
3750,319.71598579928997
4000,320.00320003200034
4250,319.8511761881901
4500,320.289681110711
4750,319.64155340194225
5000,319.870371481726
5250,320.38329965791104
5500,320.92888359952394
5750,314.7503600576092
6000,311.85301501255213
6250,292.12044843139023
6500,317.28884087544515
6750,320.7384886186343
7000,320.82887459871387
7250,320.9192551553093
7500,320.65451126691534
7750,320.551288206113
8000,319.5479321898285
8250,318.41910514630877
8500,321.11926715602937
8750,321.1481722258339
9000,318.99250782726995
9250,320.15122419587135
9500,320.77056952529557
9750,320.31601580079007
10000,321.01926115566937
10250,320.11600580029005
10500,320.90641812836253
10750,320.60641212824254
11000,321.7
11250,320.55449426402487
11500,319.8959687906372
11750,320.6288565970937
12000,320.89305898710626
12250,321.28996118913295
12500,321.25782640875354
12750,320.38970911855324
13000,321.1353248857374
13250,320.9224645725201
13500,321.03852462295475
13750,321.62251357595034
14000,316.5063301266025
14250,316.40949228476853
14500,314.92204454311803
14750,315.0882247029168
15000,314.88816868723245
15250,314.3408643123606
15500,314.2408513106704
15750,309.18966500285086
16000,308.7092612778383
16250,307.579970792406
16500,307.62153350734553
16750,307.1122844913797
17000,306.3214425009751
17250,307.5738177162519
17500,307.15836008841677
17750,300.85415374767456
18000,300.28407954227185
18250,299.5029950299503
18500,299.0807518029868
18750,298.8029880298803
19000,297.62678641077696
19250,298.3
19500,298.02980298029803
19750,321.22891060195417
20000,320.9417224239151
20250,320.3224225695799
20500,320.551288206113
20750,319.57350190543826
21000,319.3926238609197
21250,318.5445962434741
21500,318.6063721274425
21750,318.40955228656856
22000,315.1063021260425
22250,314.1031410314103
22500,314.45031204992796
22750,314.0062801256025
23000,313.04069529038776
23250,313.19395818745625
23500,312.7750660158438
23750,311.8779694923731
24000,311.6623324664933
24250,311.02799251932674
24500,305.6550179032226
24750,304.2821561821692
25000,304.47307353764904
25250,302.5544598027645
25500,303.12728145533094
25750,303.0333336667033
26000,302.5514337437364
26250,302.1
26500,300.818049082945
26750,300.3
27000,297.28621300177053
27250,297.2594518903781
27500,295.8177490649439
27750,296.06217305634186
28000,297.7446616992549
28250,297.0178210692642
28500,295.13541624995
28750,294.8117924716989
29000,294.3353202384286
29250,294.0617529681233
29500,293.8264443799942
29750,293.33813395741447
30000,287.1200984068885
30250,286.8258143232891
30500,286.03718483402844
30750,283.77945824830954
31000,285.4
31250,285.6657031117157
31500,279.7895326504481
31750,278.82509425848326
32000,280.0560112022405
32250,280.31681900914054
32500,278.1361577005011
32750,278.0055601112022
33000,276.8332199863984
33250,272.89005371772686
33500,274.4713625542641
33750,271.3298462830911
34000,271.6325959115094
34250,272.3272327232723
34500,271.3
34750,270.1108044321773
35000,271.4189993299531
35250,270.32973627098977
35500,273.365607745859
35750,268.6859795134443
36000,261.45490553016134
36250,261.5052301046021
36500,264.78473111395647
36750,264.01584095045706
37000,263.8263826382638
37250,263.8870827373033
37500,259.95199039807966
37750,261.35488452575044
38000,258.89579144283385
38250,262.8762341078913
38500,258.72846013061434
38750,261.69159205722
39000,259.30259302593026
39250,257.86962479869567
39500,252.36056653596862
39750,256.05889354551545
40000,255.1255125512551
40250,255.4229880689262
40500,255.30510610212204
40750,250.8
41000,251.13013561627398
41250,252.005040100802
41500,253.6532671861091
41750,249.50998039921598
42000,251.84533215978874
42250,249.19220111441234
42500,250.24254123200944
42750,247.7322051866743
43000,244.0805465803715
43250,240.12401240124012
43500,242.28237600784266
43750,240.41202060103006
44000,238.96213015383998
44250,238.0214219279735
44500,238.1476295259052
44750,241.08196786907547
45000,238.0499904980046
45250,241.0216919522757
45500,236.68047136026246
45750,236.83078800244033
46000,237.5047500950019
46250,238.44053489093145
46500,236.25433849785452
46750,233.3209988899001
47000,231.22080987288857
47250,232.5232523252325
47500,231.1161781324693
47750,230.43917465969213
48000,229.71378282696963
48250,232.61628313981979
48500,231.71390283417006
48750,231.19016416402397
49000,230.92771132535907
49250,231.25318823329366
49500,228.57314340588988
49750,228.6045720914418
50000,231.1254237966176
