Object count,Average FPS
0,288.77797005191405
250,316.2
500,310.7
750,306.12755147963315
1000,301.8
1250,296.20592411848236
1500,294.6235698855908
1750,291.5291529152915
2000,286.37159289822455
2250,283.222657812625
2500,280.35326712075295
2750,276.8138406920346
3000,274.5164709882593
3250,261.72617261726174
3500,269.59975190820603
3750,267.3053461069221
4000,264.9423907825252
4250,263.9607109635216
4500,263.597531086502
4750,261.1365591182766
5000,259.3959765113092
5250,258.38785186963565
5500,256.9668113709564
5750,251.52263703733334
6000,253.29625257597888
6250,250.52004160332825
6500,248.6646528097305
6750,246.99138681312087
7000,245.48346437788845
7250,244.54157206725142
7500,242.6970788315326
7750,241.47485720573377
8000,235.23293261056548
8250,234.87750957816078
8500,234.53752600416067
8750,232.88383818174543
9000,230.33455018252738
9250,227.36138757464516
9500,224.8494668827142
9750,222.32000880079207
10000,221.08401192453132
10250,218.2065461963859
10500,216.53897701586286
10750,213.63418146903504
11000,211.42748557312453
11250,207.40414808296165
11500,208.4500280067216
11750,206.1474139051982
12000,204.69211145015257
12250,203.46103831149344
12500,197.49479750280133
12750,200.11400798055865
13000,198.59532575636305
13250,196.80787231489262
13500,193.58517747809037
13750,192.31346194233598
14000,190.33806761352272
14250,187.3149851988159
14500,184.96103714225694
14750,183.84044489787755
15000,182.41824182418242
15250,180.31983518187
15500,178.8
15750,176.7654031991837
16000,174.54189005361286
16250,172.92247992238993
16500,173.04152996719213
16750,171.76183426033373
17000,167.17188391008133
17250,169.07777577685735
17500,164.94453502445663
17750,164.67080844763248
18000,165.15119687103
18250,163.81474332689942
18500,163.74421093695298
18750,161.1902665492676
19000,160.20320406408126
19250,158.40158401584014
19500,157.5157515751575
19750,155.68874258327244
20000,154.9356351960951
20250,153.51381624346192
20500,152.5
20750,151.14383171119624
21000,150.1946226122457
21250,148.85358729142493
21500,147.87097806947335
21750,146.9176301156139
22000,145.74809687196773
22250,145.24066738686832
22500,144.11873543560662
22750,143.1988071769521
23000,140.18831864074366
23250,138.94724206230117
23500,140.7253305595007
23750,139.93078477265
24000,138.55542216886755
24250,137.88410930667706
24500,136.81231310817972
24750,136.4463917732029
25000,135.71764329362819
25250,134.86203653680693
25500,134.02144343094895
25750,132.4172142378509
26000,131.92242681255814
26250,129.88572457822164
26500,130.24819183097748
26750,129.558301235556
27000,128.7399093719053
27250,127.81405954655011
27500,127.47903700294182
27750,126.45437538141401
28000,125.73520585764015
28250,125.24132963878078
28500,124.45476009444155
28750,123.76931081405587
29000,122.72945506921661
29250,121.72921501160278
29500,122.01952312369978
29750,120.68810231468973
30000,120.27095986632114
30250,119.22742230713064
30500,118.70237404748094
30750,116.74786662531638
31000,117.23634326641259
31250,116.7583791895948
31500,116.10580529026453
31750,115.4727478311336
32000,114.88731435891277
32250,114.46982659422248
32500,113.65114301435646
32750,112.99378484141837
33000,111.87383673224329
33250,112.21458789642654
33500,111.61004490404136
33750,111.1011110111101
34000,110.46296388941695
34250,109.68335935310836
34500,109.42516778859138
34750,108.85660543482611
35000,108.55210501040499
35250,108.10972987568881
35500,107.4096668700183
35750,106.9780940086263
36000,105.98903078586012
36250,105.36216367656918
36500,105.02730709984596
36750,104.45222611305654
37000,104.06139622377204
37250,103.67464574493634
37500,102.79148442113481
37750,102.47583211576567
38000,101.92242293304527
38250,101.39023731120697
38500,100.79676489429853
38750,100.52412579018964
39000,99.84992496248125
39250,99.6877251981744
39500,99.17636580166729
39750,98.5384299876952
40000,98.07944434992345
40250,97.68694137782627
40500,96.75031016128388
40750,96.52992427652572
41000,96.32986225729977
41250,93.70562233734024
41500,95.23904800968397
41750,94.7331566048117
42000,94.32452437633783
42250,94.04702351175588
42500,93.55051727933083
42750,93.08191208263273
43000,92.24704599345667
43250,91.81193555162172
43500,91.0546327796678
43750,90.18657911595132
44000,86.7390325646541
44250,90.05853804973233
44500,89.3089308930893
44750,90.24060827372318
45000,88.9240094825603
45250,88.50531031861912
45500,88.41414626340215
45750,88.13613581568443
46000,87.73948276724526
46250,87.03916762543145
46500,87.22442283839476
46750,86.7
47000,86.46657926603484
47250,86.06024216951866
47500,85.79523270830623
47750,85.34608688691894
48000,84.81696339267855
48250,84.86025077805242
48500,84.49463399006888
48750,84.46081178448482
49000,84.10588741211885
49250,83.74270878147856
49500,83.38338338338338
49750,83.19567502628023
50000,82.17806916570741
