TotalFrame,Time,DeltaTime,FPS
26614,8.7597,0.047648,20.99
26615,8.8073,0.047572,21.02
26616,8.8549,0.047652,20.99
26617,8.9023,0.047444,21.08
26618,8.9503,0.047960,20.85
26619,8.9978,0.047536,21.04
26620,9.0456,0.047775,20.93
26621,9.0931,0.047480,21.06
26622,9.1407,0.047627,21.00
26623,9.1883,0.047608,21.01
26624,9.2361,0.047709,20.96
26625,9.2834,0.047404,21.10
26626,9.3315,0.048107,20.79
26627,9.3792,0.047663,20.98
26628,9.4268,0.047604,21.01
26629,9.4743,0.047497,21.05
26630,9.5222,0.047840,20.90
26631,9.5695,0.047332,21.13
26632,9.6173,0.047828,20.91
26633,9.6648,0.047474,21.06
26634,9.7126,0.047776,20.93
26635,9.7603,0.047691,20.97
26636,9.8078,0.047586,21.01
26637,9.8554,0.047570,21.02
26638,9.9031,0.047683,20.97
26639,9.9507,0.047577,21.02
26640,9.9984,0.047729,20.95
