TotalFrame,Time,DeltaTime,FPS,RAM
377585,0.0000,0.011249,88.90, 485.5505
377586,0.0000,0.011249,88.90, 485.6885
377587,0.0200,0.020000,50.00, 485.6064
377588,0.0239,0.003564,280.62, 485.5751
377589,0.0283,0.004493,222.56, 485.5751
377590,0.0376,0.009445,105.88, 485.5750
377591,0.0410,0.003339,299.51, 485.5751
377592,0.0444,0.003273,305.54, 485.5748
377593,0.0474,0.003169,315.54, 485.5751
377594,0.0508,0.003206,311.92, 485.5749
377595,0.0547,0.003896,256.69, 485.5748
377596,0.0581,0.003566,280.43, 485.5773
377597,0.0615,0.003264,306.41, 485.5746
377598,0.0645,0.003200,312.50, 485.5695
377599,0.0679,0.003120,320.56, 485.5695
377600,0.0708,0.003245,308.14, 485.5698
377601,0.0742,0.003271,305.74, 485.5808
377602,0.0776,0.003576,279.65, 485.5695
377603,0.0811,0.003133,319.17, 485.5695
377604,0.0850,0.004021,248.68, 485.5695
377605,0.0879,0.003157,316.76, 485.5695
377606,0.0913,0.003200,312.53, 485.5695
377607,0.0952,0.003750,266.65, 485.5697
377608,0.0981,0.003166,315.86, 485.5695
377609,0.1021,0.003639,274.80, 485.5700
377610,0.1050,0.003099,322.65, 485.5695
377611,0.1084,0.003616,276.54, 485.5695
377612,0.1118,0.003215,311.05, 485.5695
377613,0.1147,0.003107,321.85, 485.5695
377614,0.1187,0.003579,279.42, 485.5695
377615,0.1216,0.003361,297.52, 485.5695
377616,0.1255,0.003765,265.60, 485.5697
377617,0.1289,0.003383,295.57, 485.5695
377618,0.1323,0.003458,289.22, 485.5695
377619,0.1357,0.003249,307.83, 485.5695
377620,0.1392,0.003448,290.00, 485.5695
377621,0.1426,0.003250,307.65, 485.5695
377622,0.1455,0.003314,301.76, 485.5695
377623,0.1489,0.003465,288.58, 485.5698
377624,0.1528,0.003754,266.41, 485.5698
377625,0.1563,0.003231,309.55, 485.5695
377626,0.1597,0.003381,295.76, 485.5695
377627,0.1626,0.003300,303.01, 485.5773
377628,0.1660,0.003290,303.92, 485.5695
377629,0.1699,0.003689,271.11, 485.5695
377630,0.1729,0.003276,305.27, 485.5695
377631,0.1763,0.003237,308.92, 485.5695
377632,0.1797,0.003168,315.68, 485.5701
377633,0.1826,0.003299,303.09, 485.5695
377634,0.1865,0.003935,254.16, 485.5695
