TotalFrame,Time,DeltaTime,FPS,RAM
577012,0.0000,0.014830,67.43, 441.2221
577013,0.0000,0.014830,67.43, 441.4577
577014,0.0200,0.020000,50.00, 441.2615
577015,0.0239,0.003654,273.64, 441.2473
577016,0.0273,0.003541,282.38, 441.2470
577017,0.0371,0.009664,103.47, 441.2469
577018,0.0400,0.003205,312.04, 441.2470
577019,0.0435,0.003094,323.24, 441.2467
577020,0.0464,0.002957,338.13, 441.2470
577021,0.0493,0.003020,331.13, 441.2471
577022,0.0522,0.002942,339.90, 441.2470
577023,0.0552,0.003007,332.55, 441.2614
577024,0.0586,0.003122,320.29, 441.2468
577025,0.0615,0.003117,320.82, 441.2417
577026,0.0645,0.003078,324.92, 441.2413
577027,0.0674,0.002990,334.41, 441.2417
577028,0.0703,0.002946,339.50, 441.2416
577029,0.0737,0.003090,323.65, 441.2417
577030,0.0767,0.003131,319.42, 441.2416
577031,0.0796,0.003045,328.41, 441.2416
577032,0.0825,0.002982,335.35, 441.2413
577033,0.0859,0.003111,321.49, 441.2416
577034,0.0889,0.002943,339.85, 441.2416
577035,0.0918,0.003070,325.78, 441.2416
577036,0.0947,0.002948,339.21, 441.2411
577037,0.0977,0.003020,331.13, 441.2414
577038,0.1006,0.002938,340.43, 441.2413
577039,0.1040,0.003071,325.61, 441.2414
577040,0.1069,0.002920,342.51, 441.2416
577041,0.1099,0.003036,329.38, 441.2417
577042,0.1133,0.003310,302.12, 441.2413
577043,0.1162,0.003066,326.14, 441.2416
577044,0.1191,0.002937,340.51, 441.2416
577045,0.1221,0.003009,332.36, 441.2416
577046,0.1250,0.002897,345.24, 441.2416
577047,0.1279,0.003135,319.02, 441.2417
577048,0.1318,0.003533,283.09, 441.2413
577049,0.1348,0.002997,333.64, 441.2416
577050,0.1377,0.002950,338.96, 441.2416
577051,0.1406,0.003019,331.27, 441.2416
577052,0.1436,0.002911,343.50, 441.2416
577053,0.1465,0.003008,332.40, 441.2417
577054,0.1494,0.002981,335.45, 441.2416
577055,0.1528,0.003058,327.05, 441.2417
577056,0.1553,0.002849,351.00, 441.2416
577057,0.1587,0.003052,327.69, 441.2417
577058,0.1621,0.003725,268.44, 441.2417
577059,0.1650,0.003004,332.86, 441.2416
577060,0.1685,0.002959,337.99, 441.2413
577061,0.1714,0.003033,329.66, 441.2416
577062,0.1743,0.002903,344.53, 441.2416
577063,0.1772,0.003016,331.54, 441.2416
577064,0.1802,0.002991,334.31, 441.2411
577065,0.1831,0.002984,335.17, 441.2417
577066,0.1860,0.002906,344.09, 441.2413
577067,0.1890,0.003006,332.69, 441.2417
577068,0.1919,0.003080,324.71, 441.2411
577069,0.1953,0.003006,332.67, 441.2417
577070,0.1987,0.003420,292.36, 441.2416
577071,0.2017,0.003032,329.78, 441.2416
577072,0.2046,0.002930,341.33, 441.2413
577073,0.2075,0.003005,332.83, 441.2417
577074,0.2104,0.002864,349.16, 441.2709
577075,0.2139,0.003295,303.48, 441.2416
577076,0.2168,0.002988,334.63, 441.2411
577077,0.2197,0.003074,325.28, 441.2416
577078,0.2227,0.003038,329.14, 441.2411
577079,0.2256,0.003038,329.19, 441.2413
577080,0.2290,0.003026,330.49, 441.2411
577081,0.2319,0.003049,328.00, 441.2413
577082,0.2349,0.002930,341.31, 441.2411
577083,0.2378,0.003009,332.36, 441.2416
577084,0.2407,0.002919,342.61, 441.2411
577085,0.2437,0.003031,329.90, 441.2417
577086,0.2471,0.003233,309.31, 441.2411
577087,0.2500,0.003011,332.09, 441.2416
577088,0.2529,0.002924,342.02, 441.2413
577089,0.2559,0.003083,324.41, 441.2416
577090,0.2588,0.002904,344.40, 441.2416
577091,0.2617,0.003013,331.90, 441.2417
577092,0.2651,0.002941,340.00, 441.2416
577093,0.2681,0.002985,335.02, 441.2417
577094,0.2710,0.003152,317.29, 441.2416
577095,0.2739,0.003032,329.86, 441.2417
577096,0.2769,0.003016,331.61, 441.2416
577097,0.2803,0.003130,319.49, 441.2416
577098,0.2832,0.002913,343.28, 441.2411
577099,0.2861,0.002969,336.87, 441.2417
577100,0.2896,0.003660,273.21, 441.2411
577101,0.2930,0.003096,323.00, 441.2416
577102,0.2959,0.002945,339.52, 441.2413
577103,0.2988,0.002957,338.15, 441.2416
577104,0.3018,0.002886,346.50, 441.2413
577105,0.3047,0.002961,337.78, 441.2416
577106,0.3076,0.002990,334.47, 441.2416
577107,0.3105,0.003056,327.23, 441.2413
577108,0.3135,0.002935,340.73, 441.2413
577109,0.3164,0.003022,330.90, 441.2413
577110,0.3193,0.002933,340.99, 441.2416
577111,0.3228,0.003165,315.98, 441.2416
577112,0.3257,0.002978,335.85, 441.2413
577113,0.3286,0.002982,335.31, 441.2417
577114,0.3315,0.003048,328.14, 441.2416
577115,0.3350,0.003018,331.39, 441.2417
577116,0.3379,0.003089,323.73, 441.2413
577117,0.3408,0.003104,322.12, 441.2411
577118,0.3447,0.003823,261.55, 441.2413
577119,0.3477,0.002970,336.72, 441.2416
577120,0.3506,0.002944,339.64, 441.2413
577121,0.3535,0.002999,333.43, 441.2411
577122,0.3564,0.002928,341.59, 441.2417
577123,0.3599,0.003271,305.70, 441.2417
577124,0.3628,0.003104,322.14, 441.2416
577125,0.3662,0.003053,327.55, 441.2414
577126,0.3691,0.003044,328.48, 441.2417
577127,0.3726,0.003453,289.62, 441.2416
577128,0.3755,0.003047,328.16, 441.2416
577129,0.3784,0.003107,321.88, 441.2435
577130,0.3818,0.002980,335.58, 441.2413
577131,0.3848,0.002973,336.39, 441.2413
577132,0.3877,0.002959,338.01, 441.2413
577133,0.3906,0.003003,333.04, 441.2413
577134,0.3936,0.002970,336.68, 441.2414
577135,0.3965,0.002968,336.97, 441.2413
577136,0.3994,0.002974,336.26, 441.2416
577137,0.4023,0.003008,332.40, 441.2413
577138,0.4053,0.002940,340.12, 441.2417
577139,0.4092,0.003552,281.51, 441.2416
577140,0.4121,0.002964,337.44, 441.2413
577141,0.4150,0.002983,335.22, 441.2416
577142,0.4180,0.002960,337.79, 441.2416
577143,0.4209,0.003016,331.53, 441.3041
577144,0.4238,0.003067,326.02, 441.2416
577145,0.4272,0.003059,326.91, 441.2416
577146,0.4302,0.002934,340.80, 441.2416
577147,0.4331,0.003043,328.61, 441.2416
577148,0.4360,0.002936,340.60, 441.2416
577149,0.4390,0.003021,331.06, 441.2416
577150,0.4419,0.002939,340.26, 441.2417
577151,0.4448,0.003093,323.28, 441.2416
577152,0.4478,0.002915,343.11, 441.2416
577153,0.4512,0.003472,288.03, 441.2411
577154,0.4546,0.003264,306.38, 441.2411
577155,0.4580,0.003214,311.10, 441.2413
577156,0.4609,0.003224,310.21, 441.2416
577157,0.4639,0.003020,331.11, 441.2416
577158,0.4673,0.003090,323.62, 441.2416
577159,0.4702,0.002946,339.42, 441.2416
577160,0.4731,0.002986,334.95, 441.2411
577161,0.4761,0.002980,335.63, 441.2416
577162,0.4790,0.002999,333.47, 441.2413
577163,0.4819,0.002963,337.51, 441.2416
577164,0.4849,0.002910,343.61, 441.2416
577165,0.4878,0.002927,341.68, 441.2416
577166,0.4907,0.002930,341.26, 441.2416
577167,0.4937,0.002958,338.11, 441.2416
577168,0.4966,0.002917,342.78, 441.2416
577169,0.4995,0.002961,337.70, 441.2416
577170,0.5024,0.002971,336.59, 441.2417
577171,0.5059,0.003414,292.95, 441.2416
577172,0.5093,0.003043,328.67, 441.2411
577173,0.5122,0.003202,312.35, 441.2411
577174,0.5151,0.003076,325.10, 441.2411
577175,0.5186,0.003070,325.73, 441.2416
577176,0.5215,0.002970,336.69, 441.2416
577177,0.5244,0.003069,325.87, 441.2413
577178,0.5273,0.002943,339.74, 441.2416
