TotalFrame,Time,DeltaTime,FPS,RAM
695700,0.0000,0.013972,71.57, 447.7858
695701,0.0000,0.013972,71.57, 448.0208
695702,0.0200,0.020000,50.00, 447.8249
695703,0.0229,0.003194,313.08, 447.8114
695704,0.0264,0.003156,316.88, 447.8105
695705,0.0366,0.010313,96.97, 447.8103
695706,0.0400,0.003240,308.64, 447.8100
695707,0.0430,0.003232,309.38, 447.8099
695708,0.0464,0.003407,293.48, 447.8102
695709,0.0498,0.003056,327.23, 447.8102
695710,0.0527,0.003097,322.88, 447.8102
695711,0.0557,0.003065,326.22, 447.8244
695712,0.0591,0.003117,320.82, 447.8099
695713,0.0620,0.003178,314.67, 447.8045
695714,0.0654,0.003191,313.36, 447.8211
695715,0.0688,0.003371,296.61, 447.8048
695716,0.0718,0.002986,334.86, 447.8048
695717,0.0747,0.003159,316.54, 447.8045
695718,0.0776,0.003025,330.57, 447.8045
695719,0.0811,0.003156,316.84, 447.8045
695720,0.0840,0.003009,332.33, 447.8045
695721,0.0869,0.003118,320.75, 447.8048
695722,0.0898,0.002969,336.84, 447.8042
695723,0.0933,0.003102,322.38, 447.8048
695724,0.0962,0.003081,324.59, 447.8048
695725,0.0996,0.003174,315.08, 447.8048
695726,0.1025,0.003134,319.07, 447.8045
695727,0.1055,0.003164,316.11, 447.8045
695728,0.1089,0.003206,311.92, 447.8048
695729,0.1118,0.003146,317.90, 447.8042
695730,0.1152,0.003015,331.66, 447.8048
695731,0.1182,0.003165,315.99, 447.8048
695732,0.1211,0.003038,329.20, 447.8042
695733,0.1245,0.003315,301.69, 447.8042
695734,0.1274,0.003111,321.41, 447.8045
695735,0.1309,0.003131,319.44, 447.8048
695736,0.1338,0.003057,327.10, 447.8048
695737,0.1372,0.003092,323.37, 447.8048
695738,0.1401,0.003133,319.21, 447.8045
695739,0.1431,0.003096,323.00, 447.8048
695740,0.1460,0.003042,328.74, 447.8048
695741,0.1494,0.003093,323.28, 447.8048
695742,0.1523,0.003110,321.56, 447.8042
695743,0.1558,0.003082,324.43, 447.8048
695744,0.1587,0.003092,323.43, 447.8048
695745,0.1616,0.003106,322.01, 447.8048
695746,0.1650,0.003152,317.28, 447.8045
695747,0.1680,0.003044,328.53, 447.8048
695748,0.1709,0.003143,318.22, 447.8048
695749,0.1743,0.003113,321.29, 447.8045
695750,0.1772,0.003054,327.47, 447.8067
695751,0.1802,0.003015,331.73, 447.8153
695752,0.1836,0.003116,320.98, 447.8045
695753,0.1865,0.003110,321.54, 447.8045
695754,0.1895,0.003082,324.44, 447.8048
695755,0.1924,0.003073,325.45, 447.8042
695756,0.1958,0.003139,318.54, 447.8042
695757,0.1987,0.003055,327.30, 447.8042
695758,0.2021,0.003154,317.08, 447.8042
695759,0.2051,0.003083,324.32, 447.8045
695760,0.2080,0.003069,325.87, 447.8048
695761,0.2109,0.003039,329.09, 447.8106
695762,0.2144,0.003190,313.49, 447.8042
695763,0.2178,0.003210,311.57, 447.8231
695764,0.2212,0.003509,285.02, 447.8067
695765,0.2241,0.003284,304.54, 447.8042
695766,0.2275,0.003197,312.77, 447.8045
695767,0.2305,0.003114,321.11, 447.8045
695768,0.2339,0.003273,305.56, 447.8042
695769,0.2368,0.003119,320.60, 447.8071
695770,0.2402,0.003041,328.87, 447.8067
695771,0.2432,0.003044,328.54, 447.8048
695772,0.2461,0.003138,318.73, 447.8045
695773,0.2495,0.003377,296.15, 447.8048
695774,0.2529,0.003319,301.28, 447.8048
695775,0.2563,0.003251,307.60, 447.8042
695776,0.2598,0.003327,300.59, 447.8048
695777,0.2632,0.003418,292.59, 447.8042
695778,0.2666,0.003635,275.14, 447.8042
695779,0.2705,0.003692,270.86, 447.8045
695780,0.2749,0.004837,206.75, 447.8042
695781,0.2793,0.004357,229.52, 447.8042
695782,0.2837,0.004404,227.07, 447.8042
695783,0.2881,0.004366,229.05, 447.8042
695784,0.2925,0.004358,229.47, 447.8043
695785,0.2969,0.004184,239.02, 447.8043
695786,0.3008,0.004189,238.74, 447.8042
695787,0.3052,0.004266,234.42, 447.8044
695788,0.3096,0.004086,244.74, 447.8042
695789,0.3135,0.004237,236.00, 447.8043
695790,0.3179,0.004231,236.37, 447.8044
695791,0.3223,0.004228,236.52, 447.8042
695792,0.3262,0.004221,236.92, 447.8042
695793,0.3306,0.004240,235.86, 447.8042
695794,0.3345,0.004093,244.33, 447.8043
695795,0.3389,0.004051,246.86, 447.8043
695796,0.3428,0.004202,237.98, 447.8043
695797,0.3472,0.004520,221.23, 447.8042
695798,0.3516,0.004348,229.97, 447.8043
695799,0.3560,0.004298,232.65, 447.8044
695800,0.3604,0.004213,237.35, 447.8044
695801,0.3643,0.004183,239.05, 447.8043
695802,0.3682,0.003988,250.75, 447.8042
695803,0.3726,0.004148,241.07, 447.8043
695804,0.3770,0.004212,237.39, 447.8042
695805,0.3809,0.004109,243.39, 447.8043
695806,0.3853,0.004256,234.98, 447.8042
695807,0.3892,0.004127,242.32, 447.8042
695808,0.3931,0.004061,246.23, 447.8043
695809,0.3975,0.004180,239.22, 447.8042
695810,0.4019,0.004192,238.58, 447.8043
695811,0.4058,0.004117,242.90, 447.8042
695812,0.4097,0.004103,243.75, 447.8043
695813,0.4141,0.004233,236.22, 447.8042
695814,0.4175,0.003129,319.56, 447.8048
695815,0.4204,0.003038,329.13, 447.8311
695816,0.4238,0.003379,295.92, 447.8045
695817,0.4268,0.003179,314.52, 447.8042
695818,0.4297,0.002982,335.40, 447.8067
695819,0.4331,0.003109,321.63, 447.8045
695820,0.4360,0.002996,333.81, 447.8048
695821,0.4390,0.003104,322.20, 447.8048
695822,0.4419,0.002995,333.87, 447.8048
695823,0.4453,0.003105,322.03, 447.8045
695824,0.4482,0.003010,332.19, 447.8048
695825,0.4512,0.003127,319.85, 447.8042
695826,0.4546,0.003102,322.33, 447.8048
695827,0.4575,0.003088,323.83, 447.8048
695828,0.4604,0.002977,335.89, 447.8045
