TotalFrame,Time,DeltaTime,FPS
32664,0.0000,0.094175,10.62
32665,0.0000,0.094175,10.62
32666,0.0200,0.020000,50.00
32667,0.0313,0.011361,88.02
32668,0.0433,0.012027,83.14
32669,0.1195,0.076120,13.14
32670,0.2152,0.095747,10.44
32671,0.3102,0.094932,10.53
32672,0.4057,0.095514,10.47
32673,0.5015,0.095783,10.44
32674,0.5985,0.097081,10.30
32675,0.6951,0.096500,10.36
32676,0.7910,0.095949,10.42
32677,0.8866,0.095633,10.46
32678,0.9821,0.095437,10.48
32679,1.0778,0.095728,10.45
32680,1.1729,0.095099,10.52
32681,1.2688,0.095898,10.43
32682,1.3633,0.094480,10.58
32683,1.4594,0.096123,10.40
32684,1.5545,0.095121,10.51
32685,1.6503,0.095769,10.44
32686,1.7459,0.095571,10.46
32687,1.8411,0.095252,10.50
32688,1.9365,0.095432,10.48
32689,2.0325,0.095972,10.42
32690,2.1274,0.094866,10.54
32691,2.2250,0.097594,10.25
32692,2.3177,0.092725,10.78
32693,2.4136,0.095953,10.42
32694,2.5090,0.095314,10.49
32695,2.6048,0.095862,10.43
32696,2.6996,0.094840,10.54
32697,2.7957,0.095976,10.42
32698,2.8912,0.095592,10.46
32699,2.9865,0.095302,10.49
32700,3.0818,0.095245,10.50
32701,3.1778,0.095996,10.42
32702,3.2732,0.095417,10.48
32703,3.3680,0.094794,10.55
32704,3.4639,0.095869,10.43
32705,3.5593,0.095457,10.48
32706,3.6547,0.095381,10.48
32707,3.7507,0.095961,10.42
32708,3.8454,0.094753,10.55
32709,3.9408,0.095386,10.48
32710,4.0367,0.095883,10.43
32711,4.1313,0.094702,10.56
32712,4.2278,0.096454,10.37
32713,4.3232,0.095371,10.49
32714,4.4182,0.094983,10.53
32715,4.5138,0.095625,10.46
32716,4.6083,0.094492,10.58
32717,4.7045,0.096247,10.39
32718,4.8000,0.095419,10.48
32719,4.8957,0.095700,10.45
32720,4.9916,0.095976,10.42
32721,5.0868,0.095178,10.51
32722,5.1821,0.095291,10.49
32723,5.2776,0.095508,10.47
32724,5.3733,0.095667,10.45
32725,5.4684,0.095132,10.51
32726,5.5645,0.096126,10.40
32727,5.6586,0.094035,10.63
32728,5.7549,0.096366,10.38
32729,5.8503,0.095399,10.48
32730,5.9455,0.095135,10.51
32731,6.0408,0.095279,10.50
32732,6.1367,0.095896,10.43
32733,6.2314,0.094733,10.56
32734,6.3273,0.095870,10.43
32735,6.4229,0.095625,10.46
32736,6.5184,0.095490,10.47
32737,6.6140,0.095627,10.46
32738,6.7093,0.095268,10.50
32739,6.8041,0.094858,10.54
32740,6.9001,0.096005,10.42
32741,6.9948,0.094600,10.57
32742,7.0912,0.096509,10.36
32743,7.1866,0.095338,10.49
32744,7.2819,0.095319,10.49
32745,7.3776,0.095718,10.45
32746,7.4722,0.094622,10.57
32747,7.5676,0.095401,10.48
32748,7.6637,0.096061,10.41
32749,7.7593,0.095665,10.45
32750,7.8544,0.095096,10.52
32751,7.9498,0.095345,10.49
32752,8.0454,0.095584,10.46
32753,8.1411,0.095745,10.44
32754,8.2358,0.094650,10.57
32755,8.3318,0.096083,10.41
32756,8.4276,0.095668,10.45
32757,8.5236,0.096002,10.42
32758,8.6175,0.093978,10.64
32759,8.7136,0.096126,10.40
32760,8.8086,0.094930,10.53
32761,8.9045,0.095900,10.43
32762,9.0002,0.095749,10.44
32763,9.0961,0.095904,10.43
32764,9.1912,0.095132,10.51
32765,9.2870,0.095751,10.44
32766,9.3818,0.094784,10.55
32767,9.4778,0.096061,10.41
32768,9.5729,0.095017,10.52
32769,9.6685,0.095564,10.46
32770,9.7631,0.094655,10.56
32771,9.8593,0.096234,10.39
32772,9.9544,0.095065,10.52
