TotalFrame,Time,DeltaTime,FPS
95989,0.0000,0.010531,94.96
95990,0.0000,0.010531,94.96
95991,0.0200,0.020000,50.00
95992,0.0250,0.005025,198.99
95993,0.0336,0.008599,116.30
95994,0.0381,0.004535,220.49
95995,0.0428,0.004670,214.15
95996,0.0475,0.004666,214.30
95997,0.0518,0.004358,229.47
95998,0.0562,0.004355,229.61
95999,0.0608,0.004606,217.10
96000,0.0651,0.004317,231.65
96001,0.0698,0.004667,214.28
96002,0.0741,0.004284,233.43
96003,0.0783,0.004269,234.26
96004,0.0827,0.004322,231.37
96005,0.0871,0.004431,225.70
96006,0.0914,0.004282,233.53
96007,0.0957,0.004334,230.72
96008,0.1005,0.004774,209.48
96009,0.1048,0.004361,229.33
96010,0.1091,0.004216,237.20
96011,0.1134,0.004330,230.96
96012,0.1177,0.004281,233.58
96013,0.1220,0.004376,228.52
96014,0.1263,0.004212,237.42
96015,0.1306,0.004386,228.01
96016,0.1350,0.004357,229.51
96017,0.1393,0.004344,230.20
96018,0.1440,0.004617,216.60
96019,0.1486,0.004600,217.38
96020,0.1529,0.004301,232.49
96021,0.1571,0.004242,235.75
96022,0.1615,0.004436,225.44
96023,0.1657,0.004190,238.65
96024,0.1702,0.004487,222.88
96025,0.1745,0.004259,234.82
96026,0.1791,0.004635,215.75
96027,0.1833,0.004245,235.55
96028,0.1876,0.004262,234.66
96029,0.1920,0.004443,225.07
96030,0.1965,0.004419,226.31
96031,0.2007,0.004255,235.02
96032,0.2050,0.004248,235.42
96033,0.2094,0.004401,227.21
96034,0.2136,0.004252,235.17
96035,0.2179,0.004247,235.44
96036,0.2222,0.004338,230.52
96037,0.2266,0.004393,227.62
96038,0.2310,0.004405,227.00
96039,0.2352,0.004200,238.12
96040,0.2395,0.004309,232.07
96041,0.2437,0.004199,238.16
96042,0.2480,0.004297,232.70
96043,0.2525,0.004449,224.75
96044,0.2567,0.004253,235.12
96045,0.2610,0.004221,236.93
96046,0.2651,0.004170,239.83
96047,0.2695,0.004375,228.57
96048,0.2740,0.004489,222.76
96049,0.2784,0.004358,229.48
96050,0.2826,0.004270,234.20
96051,0.2870,0.004417,226.39
96052,0.2915,0.004433,225.59
96053,0.2959,0.004400,227.29
96054,0.3001,0.004222,236.85
96055,0.3045,0.004448,224.84
96056,0.3088,0.004269,234.23
96057,0.3131,0.004314,231.81
96058,0.3174,0.004312,231.92
96059,0.3219,0.004439,225.29
96060,0.3261,0.004218,237.07
96061,0.3304,0.004276,233.89
96062,0.3350,0.004631,215.92
96063,0.3393,0.004305,232.28
96064,0.3438,0.004497,222.36
96065,0.3484,0.004665,214.39
96066,0.3528,0.004353,229.72
96067,0.3571,0.004246,235.52
96068,0.3617,0.004674,213.95
96069,0.3659,0.004145,241.23
96070,0.3700,0.004167,239.99
96071,0.3745,0.004496,222.40
96072,0.3791,0.004559,219.36
