TotalFrame,Time,DeltaTime,FPS,RAM
295256,0.0000,0.012780,78.25, 426.9700
295257,0.0000,0.012780,78.25, 449.0414
295258,0.0200,0.020000,50.00, 443.2269
295259,0.0293,0.009243,108.19, 440.5447
295260,0.0376,0.008524,117.31, 440.6693
295261,0.0461,0.008562,116.79, 440.8563
295262,0.0549,0.008773,113.99, 440.4821
295263,0.0686,0.013623,73.41, 440.5445
295264,0.0820,0.013340,74.96, 440.7939
295265,0.0957,0.013686,73.07, 440.9187
295266,0.1091,0.013469,74.25, 441.2305
295267,0.1221,0.013026,76.77, 440.7316
295268,0.1355,0.013361,74.84, 440.2950
295269,0.1487,0.013122,76.21, 440.6638
295270,0.1619,0.013261,75.41, 442.9711
295271,0.1753,0.013311,75.13, 442.2228
295272,0.1882,0.012960,77.16, 442.0357
295273,0.2014,0.013289,75.25, 440.9133
295274,0.2148,0.013271,75.35, 440.5392
295275,0.2280,0.013256,75.44, 440.6015
295276,0.2415,0.013389,74.69, 442.0981
295277,0.2539,0.012589,79.44, 441.4121
295278,0.2673,0.013443,74.39, 440.7886
295279,0.2808,0.013377,74.75, 441.1004
295280,0.2939,0.013163,75.97, 440.8509
295281,0.3066,0.012767,78.33, 440.6638
295282,0.3206,0.013771,72.62, 440.2274
295283,0.3337,0.013193,75.80, 441.1004
295284,0.3469,0.013316,75.10, 440.9756
295285,0.3604,0.013377,74.76, 440.7886
295286,0.3733,0.012820,78.00, 440.4144
295287,0.3870,0.013759,72.68, 437.6748
295288,0.3999,0.012977,77.06, 438.1736
295289,0.4126,0.012637,79.13, 441.6616
295290,0.4263,0.013563,73.73, 437.4877
295291,0.4387,0.012612,79.29, 441.7863
295292,0.4519,0.013045,76.66, 440.9133
295293,0.4648,0.012977,77.06, 440.7262
295294,0.4785,0.013629,73.38, 440.4768
295295,0.4915,0.013033,76.73, 441.1004
295296,0.5042,0.012744,78.47, 441.7239
295297,0.5173,0.013126,76.19, 441.0380
295298,0.5305,0.013166,75.95, 441.3498
295299,0.5437,0.013205,75.73, 440.6638
295300,0.5574,0.013588,73.59, 440.9133
295301,0.5703,0.013142,76.09, 440.9756
295302,0.5837,0.013221,75.64, 440.1068
295303,0.5969,0.013224,75.62, 440.5392
295304,0.6101,0.013254,75.45, 440.9756
295305,0.6230,0.012876,77.66, 441.1004
295306,0.6367,0.013721,72.88, 440.9133
295307,0.6499,0.013249,75.48, 440.7886
295308,0.6633,0.013312,75.12, 440.1650
295309,0.6763,0.013059,76.58, 440.7262
295310,0.6897,0.013277,75.32, 440.7886
295311,0.7034,0.013804,72.44, 440.7886
