TotalFrame,Time,DeltaTime,FPS,RAM
92155,0.0000,0.053195,18.80, 470.9258
92156,0.0000,0.053195,18.80, 467.0700
92157,0.0200,0.020000,50.00, 466.8254
92158,0.0698,0.049738,20.11, 466.8244
92159,0.1191,0.049375,20.25, 466.8244
92160,0.1685,0.049333,20.27, 466.8245
92161,0.2181,0.049680,20.13, 466.8245
92162,0.2677,0.049533,20.19, 466.8245
92163,0.3225,0.054874,18.22, 466.8244
92164,0.3728,0.050247,19.90, 466.8245
92165,0.4225,0.049692,20.12, 466.8245
92166,0.4720,0.049585,20.17, 466.8245
92167,0.5219,0.049778,20.09, 466.8190
92168,0.5714,0.049580,20.17, 466.8191
92169,0.6208,0.049441,20.23, 466.8190
92170,0.6710,0.050132,19.95, 466.8191
92171,0.7202,0.049185,20.33, 466.8190
92172,0.7698,0.049596,20.16, 466.8191
92173,0.8195,0.049631,20.15, 466.8190
92174,0.8704,0.050965,19.62, 466.8191
92175,0.9196,0.049189,20.33, 466.8191
92176,0.9698,0.050315,19.87, 466.8191
92177,1.0195,0.049591,20.17, 466.8190
92178,1.0695,0.049926,20.03, 466.8191
92179,1.1193,0.049866,20.05, 466.8191
92180,1.1691,0.049787,20.09, 466.8190
92181,1.2188,0.049667,20.13, 466.8191
92182,1.2679,0.049268,20.30, 466.8191
92183,1.3176,0.049652,20.14, 466.8191
92184,1.3673,0.049613,20.16, 466.8191
92185,1.4175,0.050253,19.90, 466.8190
92186,1.4668,0.049229,20.31, 466.8191
92187,1.5168,0.050066,19.97, 466.8191
92188,1.5670,0.050152,19.94, 466.8190
92189,1.6168,0.049857,20.06, 466.8190
92190,1.6664,0.049515,20.20, 466.8191
92191,1.7162,0.049832,20.07, 466.8190
92192,1.7657,0.049634,20.15, 466.8191
92193,1.8158,0.049955,20.02, 466.8191
92194,1.8654,0.049541,20.19, 466.8191
92195,1.9177,0.052390,19.09, 466.8190
92196,1.9675,0.049873,20.05, 466.8190
92197,2.0177,0.050151,19.94, 466.8191
92198,2.0674,0.049657,20.14, 466.8191
92199,2.1171,0.049707,20.12, 466.8190
92200,2.1666,0.049537,20.19, 466.8190
