TotalFrame,Time,DeltaTime,FPS,RAM
893306,0.0000,0.013865,72.13, 459.4537
893307,0.0000,0.013865,72.13, 459.6892
893308,0.0200,0.020000,50.00, 459.5078
893309,0.0229,0.003246,308.10, 459.4788
893310,0.0259,0.003012,332.03, 459.4788
893311,0.0356,0.009600,104.17, 459.4782
893312,0.0391,0.003447,290.07, 459.4787
893313,0.0430,0.003683,271.50, 459.4783
893314,0.0469,0.003939,253.87, 459.4780
893315,0.0508,0.004184,238.98, 459.4786
893316,0.0552,0.004180,239.25, 459.4782
893317,0.0581,0.003152,317.29, 459.4786
893318,0.0620,0.003643,274.48, 459.4784
893319,0.0659,0.004031,248.06, 459.4732
893320,0.0698,0.003853,259.52, 459.4732
893321,0.0737,0.003808,262.61, 459.4732
893322,0.0771,0.003793,263.68, 459.4732
893323,0.0811,0.003591,278.44, 459.4730
893324,0.0850,0.003854,259.46, 459.4730
893325,0.0889,0.003989,250.71, 459.4732
893326,0.0923,0.003438,290.86, 459.4727
893327,0.0962,0.003738,267.49, 459.4732
893328,0.0996,0.003887,257.29, 459.4732
893329,0.1035,0.003835,260.78, 459.4732
893330,0.1079,0.004156,240.63, 459.4732
893331,0.1113,0.003613,276.82, 459.4732
893332,0.1152,0.003887,257.30, 459.4727
893333,0.1196,0.004049,246.96, 459.4730
893334,0.1230,0.003737,267.58, 459.4732
893335,0.1270,0.004061,246.24, 459.4732
893336,0.1309,0.003565,280.51, 459.4732
893337,0.1348,0.003903,256.21, 459.4732
893338,0.1387,0.003990,250.61, 459.4732
893339,0.1421,0.003592,278.41, 459.4732
893340,0.1460,0.003996,250.26, 459.4732
893341,0.1499,0.003807,262.70, 459.4732
893342,0.1538,0.003613,276.82, 459.4730
893343,0.1577,0.003967,252.11, 459.4732
893344,0.1611,0.003527,283.57, 459.4732
893345,0.1650,0.003933,254.27, 459.4727
893346,0.1689,0.003864,258.82, 459.4730
893347,0.1724,0.003427,291.77, 459.4730
