TotalFrame,Time,DeltaTime,FPS,RAM
568838,2.0776,0.016162,61.87, 1293.2250
568839,2.0933,0.015922,62.81, 1293.2250
568840,2.1089,0.015577,64.20, 1293.2260
568841,2.1250,0.016080,62.19, 1293.2260
568842,2.1406,0.015692,63.73, 1293.2250
568843,2.1567,0.016015,62.44, 1293.2250
568844,2.1729,0.016050,62.31, 1293.2260
568845,2.1885,0.015769,63.41, 1293.2260
568846,2.2051,0.016342,61.19, 1293.2250
568847,2.2217,0.016630,60.13, 1293.2260
568848,2.2383,0.016836,59.40, 1293.2250
568849,2.2544,0.016137,61.97, 1293.2260
568850,2.2705,0.015865,63.03, 1293.2260
568851,2.2866,0.016301,61.35, 1293.2260
568852,2.3027,0.016060,62.27, 1293.2250
568853,2.3188,0.016304,61.34, 1293.2260
568854,2.3354,0.016392,61.00, 1293.2260
568855,2.3516,0.015993,62.53, 1293.2250
568856,2.3672,0.015879,62.98, 1293.2260
568857,2.3833,0.016054,62.29, 1293.2250
568858,2.3994,0.016030,62.38, 1293.2250
568859,2.4155,0.016143,61.95, 1293.2260
568860,2.4316,0.016159,61.89, 1293.2250
568861,2.4482,0.016566,60.36, 1293.2250
568862,2.4644,0.015995,62.52, 1293.2250
568863,2.4800,0.015928,62.78, 1293.2250
568864,2.4966,0.016492,60.63, 1293.2260
568865,2.5127,0.016062,62.26, 1293.2250
568866,2.5288,0.015928,62.78, 1293.2250
568867,2.5444,0.015618,64.03, 1293.2260
568868,2.5610,0.016594,60.26, 1293.2250
568869,2.5767,0.015893,62.92, 1293.2250
568870,2.5923,0.015694,63.72, 1293.2250
568871,2.6084,0.016010,62.46, 1293.2250
568872,2.6240,0.015709,63.66, 1293.2260
568873,2.6396,0.015620,64.02, 1293.2260
568874,2.6558,0.015773,63.40, 1293.2250
568875,2.6714,0.015889,62.94, 1293.2260
568876,2.6875,0.016200,61.73, 1293.2250
568877,2.7036,0.016018,62.43, 1293.2260
568878,2.7197,0.015839,63.13, 1293.2250
568879,2.7358,0.016069,62.23, 1293.2250
568880,2.7515,0.015860,63.05, 1293.2250
568881,2.7676,0.016080,62.19, 1293.2250
568882,2.7837,0.016045,62.32, 1293.2250
568883,2.7998,0.016045,62.32, 1293.2250
568884,2.8154,0.015920,62.81, 1293.2250
568885,2.8315,0.016111,62.07, 1293.2250
568886,2.8477,0.015874,63.00, 1293.2250
568887,2.8633,0.015958,62.67, 1293.2260
568888,2.8789,0.015612,64.05, 1293.2250
568889,2.8955,0.016354,61.15, 1293.2250
568890,2.9116,0.016099,62.12, 1293.2250
568891,2.9272,0.015487,64.57, 1293.2250
568892,2.9429,0.015926,62.79, 1293.2250
568893,2.9590,0.016049,62.31, 1293.2250
568894,2.9751,0.016004,62.48, 1293.2250
568895,2.9907,0.015605,64.08, 1293.2250
568896,3.0068,0.015972,62.61, 1293.2250
568897,3.0225,0.015948,62.71, 1293.2280
568898,3.0386,0.015989,62.54, 1293.2250
568899,3.0547,0.015921,62.81, 1293.2250
568900,3.0703,0.015964,62.64, 1293.2250
568901,3.0864,0.016156,61.90, 1293.2260
568902,3.1025,0.016148,61.93, 1293.2250
568903,3.1187,0.015873,63.00, 1293.2250
568904,3.1348,0.016157,61.89, 1293.2260
568905,3.1504,0.015536,64.37, 1293.2260
568906,3.1665,0.016418,60.91, 1293.2260
568907,3.1826,0.016030,62.38, 1293.2250
568908,3.1987,0.016045,62.32, 1293.2260
568909,3.2153,0.016760,59.67, 1293.2260
568910,3.2319,0.016203,61.72, 1293.2260
568911,3.2485,0.016856,59.33, 1293.2250
568912,3.2646,0.016271,61.46, 1293.2250
568913,3.2808,0.015875,62.99, 1293.2260
568914,3.2969,0.015993,62.53, 1293.2250
568915,3.3130,0.016098,62.12, 1293.2250
568916,3.3286,0.015794,63.32, 1293.2280
568917,3.3452,0.016603,60.23, 1293.2260
568918,3.3613,0.016081,62.18, 1293.2350
568919,3.3770,0.015721,63.61, 1293.2390
568920,3.3936,0.016391,61.01, 1293.2260
568921,3.4092,0.015961,62.65, 1293.2260
568922,3.4253,0.015845,63.11, 1293.2250
568923,3.4409,0.015880,62.97, 1293.2260
568924,3.4575,0.016199,61.73, 1293.2250
568925,3.4736,0.016156,61.90, 1293.2250
568926,3.4888,0.015488,64.56, 1293.2260
568927,3.5049,0.016146,61.93, 1293.2260
568928,3.5210,0.016109,62.08, 1293.2260
568929,3.5371,0.016138,61.97, 1293.2250
568930,3.5532,0.015872,63.00, 1293.2250
568931,3.5693,0.016147,61.93, 1293.2250
568932,3.5854,0.015997,62.51, 1293.2250
568933,3.6021,0.016459,60.76, 1293.2250
568934,3.6177,0.016054,62.29, 1293.2260
568935,3.6338,0.016020,62.42, 1293.2250
568936,3.6499,0.015978,62.58, 1293.2260
568937,3.6660,0.016071,62.22, 1293.2250
568938,3.6821,0.016138,61.97, 1293.2250
568939,3.6982,0.016078,62.20, 1293.2260
568940,3.7144,0.016041,62.34, 1293.2250
568941,3.7305,0.016139,61.96, 1293.2250
568942,3.7466,0.016126,62.01, 1293.2260
568943,3.7627,0.016336,61.21, 1293.2260
568944,3.7788,0.015885,62.95, 1293.2260
568945,3.7944,0.015781,63.37, 1293.2250
568946,3.8101,0.015643,63.93, 1293.2350
568947,3.8262,0.016079,62.19, 1293.2250
568948,3.8423,0.015888,62.94, 1293.2250
568949,3.8579,0.015988,62.55, 1293.2260
568950,3.8740,0.016026,62.40, 1293.2250
568951,3.8896,0.015687,63.75, 1293.2250
568952,3.9058,0.016131,61.99, 1293.2250
568953,3.9219,0.016021,62.42, 1293.2250
568954,3.9380,0.015869,63.01, 1293.2250
568955,3.9536,0.015906,62.87, 1293.2260
568956,3.9697,0.015939,62.74, 1293.2400
568957,3.9858,0.015997,62.51, 1293.2250
568958,4.0015,0.015950,62.70, 1293.2250
568959,4.0176,0.015994,62.52, 1293.2260
568960,4.0337,0.016221,61.65, 1293.2260
568961,4.0498,0.016125,62.02, 1293.2250
568962,4.0659,0.015770,63.41, 1293.2260
568963,4.0815,0.015892,62.92, 1293.2250
568964,4.0977,0.015911,62.85, 1293.2260
568965,4.1138,0.016306,61.33, 1293.2250
568966,4.1299,0.016161,61.88, 1293.2250
568967,4.1460,0.016086,62.16, 1293.2250
568968,4.1616,0.015650,63.90, 1293.2250
568969,4.1772,0.015616,64.04, 1293.2260
568970,4.1934,0.015872,63.01, 1293.2250
568971,4.2090,0.015984,62.56, 1293.2260
568972,4.2256,0.016356,61.14, 1293.2250
568973,4.2417,0.016261,61.50, 1293.2260
568974,4.2578,0.016094,62.13, 1293.2250
568975,4.2734,0.015602,64.09, 1293.2250
568976,4.2896,0.015889,62.94, 1293.2260
568977,4.3057,0.016228,61.62, 1293.2250
568978,4.3213,0.015804,63.27, 1293.2260
568979,4.3374,0.015915,62.83, 1293.2260
568980,4.3540,0.016455,60.77, 1293.2250
568981,4.3696,0.015831,63.17, 1293.2260
568982,4.3857,0.016015,62.44, 1293.2280
568983,4.4019,0.016115,62.05, 1293.2260
568984,4.4180,0.016181,61.80, 1293.2250
568985,4.4341,0.016002,62.49, 1293.2260
568986,4.4497,0.016012,62.45, 1293.2250
568987,4.4658,0.016078,62.20, 1293.2260
568988,4.4819,0.016058,62.28, 1293.2260
568989,4.4980,0.016023,62.41, 1293.2260
568990,4.5146,0.016486,60.66, 1293.2250
568991,4.5308,0.016013,62.45, 1293.2260
568992,4.5469,0.016223,61.64, 1293.2250
568993,4.5630,0.015927,62.79, 1293.2250
568994,4.5786,0.015887,62.94, 1293.2250
568995,4.5947,0.015947,62.71, 1293.2250
568996,4.6104,0.015652,63.89, 1293.2250
568997,4.6260,0.015935,62.76, 1293.2250
568998,4.6421,0.016018,62.43, 1293.2250
568999,4.6587,0.016400,60.98, 1293.2250
569000,4.6748,0.015972,62.61, 1293.2250
569001,4.6904,0.016076,62.20, 1293.2250
569002,4.7065,0.016115,62.05, 1293.2250
569003,4.7227,0.015911,62.85, 1293.2250
569004,4.7388,0.016024,62.41, 1293.2260
569005,4.7549,0.016146,61.93, 1293.2260
569006,4.7710,0.016379,61.05, 1293.2260
569007,4.7871,0.016045,62.32, 1293.2250
569008,4.8032,0.016138,61.97, 1293.2260
569009,4.8193,0.015985,62.56, 1293.2250
569010,4.8354,0.016040,62.34, 1293.2250
569011,4.8516,0.016205,61.71, 1293.2250
569012,4.8677,0.015952,62.69, 1293.2250
569013,4.8838,0.016440,60.83, 1293.2250
