TotalFrame,Time,DeltaTime,FPS,RAM
86530,0.0000,0.048342,20.69, 420.6212
86531,0.0000,0.048342,20.69, 416.8627
86532,0.0200,0.020000,50.00, 416.6200
86533,0.0627,0.042729,23.40, 416.6191
86534,0.1056,0.042854,23.33, 416.6190
86535,0.1497,0.044119,22.67, 416.6190
86536,0.1895,0.039713,25.18, 416.6190
86537,0.2305,0.041075,24.35, 416.6190
86538,0.2745,0.044065,22.69, 416.6190
86539,0.3190,0.044369,22.54, 416.6190
86540,0.3635,0.044573,22.44, 416.6190
86541,0.4050,0.041567,24.06, 416.6190
86542,0.4465,0.041429,24.14, 416.6182
86543,0.4905,0.043964,22.75, 416.6137
86544,0.5333,0.042860,23.33, 416.6137
86545,0.5748,0.041496,24.10, 416.6137
86546,0.6160,0.041143,24.31, 416.6136
86547,0.6566,0.040725,24.55, 416.6137
86548,0.6978,0.041050,24.36, 416.6137
86549,0.7402,0.042531,23.51, 416.6137
86550,0.7842,0.043864,22.80, 416.6137
86551,0.8254,0.041302,24.21, 416.6137
86552,0.8699,0.044485,22.48, 416.6137
86553,0.9102,0.040263,24.84, 416.6137
86554,0.9495,0.039253,25.48, 416.6137
86555,0.9913,0.041848,23.90, 416.6137
86556,1.0326,0.041329,24.20, 416.6137
86557,1.0735,0.040835,24.49, 416.6137
86558,1.1147,0.041356,24.18, 416.6137
86559,1.1561,0.041357,24.18, 416.6137
86560,1.1969,0.040735,24.55, 416.6137
86561,1.2383,0.041352,24.18, 416.6137
86562,1.2793,0.041066,24.35, 416.6137
86563,1.3208,0.041497,24.10, 416.6137
86564,1.3623,0.041526,24.08, 416.6136
86565,1.4049,0.042589,23.48, 416.6136
86566,1.4462,0.041222,24.26, 416.6137
86567,1.4889,0.042775,23.38, 416.6136
86568,1.5359,0.046982,21.28, 416.6136
86569,1.5801,0.044234,22.61, 416.6136
86570,1.6245,0.044392,22.53, 416.6136
86571,1.6656,0.041104,24.33, 416.6137
86572,1.7053,0.039740,25.16, 416.6137
86573,1.7468,0.041519,24.09, 416.6137
86574,1.7882,0.041375,24.17, 416.6137
86575,1.8301,0.041794,23.93, 416.6137
86576,1.8718,0.041788,23.93, 416.6137
86577,1.9137,0.041823,23.91, 416.6137
86578,1.9554,0.041769,23.94, 416.6137
86579,1.9968,0.041393,24.16, 416.6137
86580,2.0383,0.041527,24.08, 416.6137
86581,2.0809,0.042622,23.46, 416.6137
86582,2.1256,0.044674,22.38, 416.6137
86583,2.1689,0.043296,23.10, 416.6137
86584,2.2122,0.043256,23.12, 416.6137
86585,2.2544,0.042137,23.73, 416.6137
86586,2.2977,0.043341,23.07, 416.6137
86587,2.3398,0.042172,23.71, 416.6137
86588,2.3810,0.041105,24.33, 416.6137
86589,2.4211,0.040172,24.89, 416.6137
86590,2.4645,0.043374,23.06, 416.6137
86591,2.5071,0.042634,23.46, 416.6137
86592,2.5502,0.043039,23.23, 416.6137
86593,2.5922,0.041982,23.82, 416.6137
86594,2.6337,0.041486,24.10, 416.6137
