TotalFrame,Time,DeltaTime,FPS
6559,4.5317,0.024892,40.17
6560,4.5559,0.024273,41.20
6561,4.5802,0.024206,41.31
6562,4.6042,0.024033,41.61
6563,4.6282,0.024003,41.66
6564,4.6527,0.024548,40.74
6565,4.6773,0.024517,40.79
6566,4.7016,0.024333,41.10
6567,4.7256,0.024058,41.57
6568,4.7500,0.024391,41.00
6569,4.7743,0.024307,41.14
6570,4.7983,0.023953,41.75
6571,4.8227,0.024397,40.99
6572,4.8465,0.023851,41.93
6573,4.8712,0.024676,40.53
6574,4.8952,0.023981,41.70
6575,4.9194,0.024214,41.30
6576,4.9434,0.024006,41.66
6577,4.9678,0.024349,41.07
6578,4.9916,0.023821,41.98
6579,5.0165,0.024879,40.19
6580,5.0410,0.024572,40.70
6581,5.0649,0.023845,41.94
6582,5.0892,0.024356,41.06
6583,5.1134,0.024106,41.48
6584,5.1375,0.024196,41.33
6585,5.1618,0.024227,41.28
6586,5.1859,0.024147,41.41
6587,5.2100,0.024054,41.57
6588,5.2342,0.024253,41.23
6589,5.2582,0.024016,41.64
6590,5.2828,0.024580,40.68
6591,5.3069,0.024039,41.60
6592,5.3307,0.023840,41.95
6593,5.3555,0.024841,40.26
6594,5.3795,0.023922,41.80
6595,5.4039,0.024420,40.95
6596,5.4277,0.023844,41.94
6597,5.4519,0.024219,41.29
6598,5.4762,0.024218,41.29
6599,5.5009,0.024764,40.38
6600,5.5260,0.025041,39.93
6601,5.5501,0.024135,41.43
6602,5.5743,0.024159,41.39
6603,5.5983,0.024066,41.55
6604,5.6224,0.024113,41.47
6605,5.6463,0.023885,41.87
6606,5.6705,0.024154,41.40
6607,5.6943,0.023792,42.03
6608,5.7190,0.024687,40.51
6609,5.7431,0.024186,41.35
6610,5.7673,0.024197,41.33
6611,5.7915,0.024200,41.32
6612,5.8157,0.024145,41.42
6613,5.8398,0.024144,41.42
6614,5.8641,0.024260,41.22
6615,5.8887,0.024589,40.67
6616,5.9127,0.024004,41.66
6617,5.9366,0.023938,41.78
6618,5.9608,0.024190,41.34
6619,5.9852,0.024361,41.05
6620,6.0090,0.023809,42.00
6621,6.0341,0.025083,39.87
6622,6.0582,0.024118,41.46
6623,6.0824,0.024248,41.24
6624,6.1064,0.023939,41.77
6625,6.1311,0.024715,40.46
6626,6.1550,0.023957,41.74
6627,6.1798,0.024732,40.43
6628,6.2041,0.024350,41.07
6629,6.2280,0.023847,41.93
6630,6.2526,0.024632,40.60
6631,6.2768,0.024167,41.38
6632,6.3014,0.024614,40.63
6633,6.3256,0.024216,41.30
6634,6.3502,0.024583,40.68
6635,6.3747,0.024498,40.82
6636,6.3987,0.024045,41.59
6637,6.4228,0.024097,41.50
6638,6.4470,0.024163,41.39
6639,6.4711,0.024098,41.50
6640,6.4951,0.024018,41.64
6641,6.5197,0.024555,40.73
6642,6.5441,0.024399,40.99
6643,6.5684,0.024357,41.06
6644,6.5924,0.023960,41.74
6645,6.6167,0.024314,41.13
6646,6.6409,0.024229,41.27
6647,6.6650,0.024083,41.52
6648,6.6891,0.024086,41.52
6649,6.7140,0.024903,40.16
6650,6.7382,0.024194,41.33
6651,6.7627,0.024474,40.86
6652,6.7872,0.024509,40.80
6653,6.8112,0.024082,41.53
6654,6.8354,0.024103,41.49
6655,6.8593,0.023985,41.69
6656,6.8838,0.024423,40.95
6657,6.9082,0.024490,40.83
6658,6.9324,0.024128,41.45
6659,6.9567,0.024313,41.13
6660,6.9807,0.024048,41.58
6661,7.0048,0.024049,41.58
6662,7.0298,0.025058,39.91
6663,7.0538,0.023925,41.80
6664,7.0779,0.024158,41.40
6665,7.1023,0.024368,41.04
6666,7.1270,0.024665,40.54
6667,7.1511,0.024166,41.38
6668,7.1758,0.024638,40.59
6669,7.1999,0.024110,41.48
6670,7.2241,0.024240,41.25
6671,7.2482,0.024046,41.59
6672,7.2721,0.023978,41.70
6673,7.2967,0.024571,40.70
6674,7.3208,0.024059,41.56
6675,7.3453,0.024493,40.83
6676,7.3696,0.024324,41.11
6677,7.3937,0.024089,41.51
6678,7.4181,0.024460,40.88
6679,7.4424,0.024268,41.21
6680,7.4664,0.023992,41.68
6681,7.4904,0.023980,41.70
6682,7.5144,0.024033,41.61
6683,7.5392,0.024777,40.36
6684,7.5634,0.024237,41.26
6685,7.5880,0.024606,40.64
6686,7.6121,0.024045,41.59
6687,7.6362,0.024139,41.43
6688,7.6603,0.024099,41.50
6689,7.6844,0.024080,41.53
6690,7.7085,0.024133,41.44
6691,7.7327,0.024219,41.29
6692,7.7571,0.024327,41.11
6693,7.7812,0.024156,41.40
6694,7.8058,0.024536,40.76
6695,7.8298,0.024023,41.63
6696,7.8539,0.024147,41.41
6697,7.8783,0.024383,41.01
6698,7.9024,0.024056,41.57
6699,7.9269,0.024542,40.75
6700,7.9511,0.024172,41.37
6701,7.9751,0.024058,41.57
6702,7.9994,0.024268,41.21
6703,8.0241,0.024680,40.52
6704,8.0487,0.024573,40.70
6705,8.0730,0.024334,41.10
6706,8.0971,0.024141,41.42
6707,8.1214,0.024218,41.29
6708,8.1457,0.024324,41.11
6709,8.1699,0.024269,41.21
6710,8.1952,0.025226,39.64
6711,8.2196,0.024393,41.00
6712,8.2443,0.024723,40.45
6713,8.2689,0.024625,40.61
6714,8.2935,0.024629,40.60
6715,8.3182,0.024673,40.53
6716,8.3423,0.024067,41.55
6717,8.3663,0.024008,41.65
6718,8.3906,0.024348,41.07
6719,8.4151,0.024428,40.94
6720,8.4393,0.024277,41.19
6721,8.4635,0.024129,41.44
6722,8.4876,0.024126,41.45
6723,8.5118,0.024182,41.35
6724,8.5365,0.024720,40.45
6725,8.5604,0.023889,41.86
6726,8.5848,0.024400,40.98
6727,8.6091,0.024279,41.19
6728,8.6331,0.024073,41.54
6729,8.6574,0.024231,41.27
6730,8.6807,0.023307,42.91
6731,8.7064,0.025708,38.90
6732,8.7303,0.023868,41.90
6733,8.7551,0.024795,40.33
6734,8.7795,0.024426,40.94
6735,8.8039,0.024415,40.96
6736,8.8285,0.024645,40.58
6737,8.8527,0.024136,41.43
6738,8.8769,0.024188,41.34
6739,8.9012,0.024306,41.14
6740,8.9253,0.024134,41.44
6741,8.9495,0.024204,41.32
6742,8.9742,0.024649,40.57
6743,8.9982,0.024026,41.62
6744,9.0231,0.024885,40.18
6745,9.0487,0.025588,39.08
6746,9.0724,0.023787,42.04
6747,9.0969,0.024475,40.86
6748,9.1213,0.024397,40.99
6749,9.1454,0.024061,41.56
6750,9.1694,0.024015,41.64
6751,9.1936,0.024223,41.28
6752,9.2188,0.025194,39.69
6753,9.2426,0.023777,42.06
6754,9.2669,0.024346,41.07
6755,9.2911,0.024223,41.28
6756,9.3157,0.024564,40.71
6757,9.3397,0.024003,41.66
6758,9.3641,0.024388,41.00
6759,9.3883,0.024150,41.41
6760,9.4123,0.024052,41.58
6761,9.4362,0.023905,41.83
6762,9.4605,0.024285,41.18
6763,9.4847,0.024237,41.26
6764,9.5087,0.023976,41.71
6765,9.5332,0.024446,40.91
6766,9.5582,0.025046,39.93
6767,9.5822,0.024040,41.60
6768,9.6063,0.024075,41.54
6769,9.6309,0.024543,40.75
6770,9.6551,0.024245,41.25
6771,9.6793,0.024164,41.38
6772,9.7037,0.024396,40.99
6773,9.7278,0.024160,41.39
6774,9.7521,0.024238,41.26
6775,9.7763,0.024228,41.28
6776,9.8003,0.024043,41.59
6777,9.8249,0.024571,40.70
6778,9.8486,0.023737,42.13
6779,9.8737,0.025059,39.91
6780,9.8976,0.023903,41.84
6781,9.9220,0.024423,40.95
6782,9.9461,0.024108,41.48
6783,9.9705,0.024398,40.99
6784,9.9948,0.024266,41.21
