TotalFrame,Time,DeltaTime,FPS
226976,0.0000,0.016583,60.30
226977,0.0000,0.016583,60.30
226978,0.0200,0.020000,50.00
226979,0.0314,0.011429,87.50
226980,0.0432,0.011821,84.60
226981,0.0546,0.011379,87.88
226982,0.0658,0.011193,89.34
226983,0.0778,0.011898,84.05
226984,0.0955,0.017717,56.44
226985,0.1122,0.016788,59.57
226986,0.1292,0.016915,59.12
226987,0.1459,0.016742,59.73
226988,0.1628,0.016967,58.94
226989,0.1796,0.016785,59.58
226990,0.1964,0.016795,59.54
226991,0.2134,0.016998,58.83
226992,0.2306,0.017138,58.35
226993,0.2473,0.016737,59.75
226994,0.2643,0.016991,58.85
226995,0.2809,0.016600,60.24
226996,0.2977,0.016797,59.53
226997,0.3146,0.016875,59.26
226998,0.3312,0.016686,59.93
226999,0.3479,0.016667,60.00
227000,0.3646,0.016775,59.61
227001,0.3817,0.017053,58.64
227002,0.3981,0.016382,61.04
227003,0.4152,0.017038,58.69
227004,0.4320,0.016853,59.34
227005,0.4489,0.016868,59.28
227006,0.4659,0.017053,58.64
227007,0.4828,0.016823,59.44
227008,0.4998,0.016958,58.97
227009,0.5166,0.016915,59.12
227010,0.5334,0.016798,59.53
227011,0.5502,0.016811,59.48
227012,0.5671,0.016854,59.33
227013,0.5839,0.016816,59.47
227014,0.6011,0.017189,58.18
227015,0.6180,0.017011,58.78
227016,0.6349,0.016776,59.61
227017,0.6516,0.016732,59.77
227018,0.6687,0.017034,58.71
227019,0.6858,0.017153,58.30
227020,0.7029,0.017097,58.49
227021,0.7196,0.016656,60.04
227022,0.7368,0.017224,58.06
227023,0.7538,0.017037,58.70
227024,0.7715,0.017725,56.42
227025,0.7885,0.016944,59.02
227026,0.8049,0.016427,60.88
227027,0.8220,0.017110,58.44
227028,0.8390,0.016941,59.03
227029,0.8558,0.016933,59.06
227030,0.8726,0.016622,60.16
227031,0.8894,0.016846,59.36
227032,0.9060,0.016629,60.14
227033,0.9236,0.017552,56.97
227034,0.9406,0.016968,58.93
227035,0.9570,0.016472,60.71
227036,0.9735,0.016527,60.51
227037,0.9907,0.017170,58.24
227038,1.0076,0.016852,59.34
227039,1.0245,0.017014,58.77
227040,1.0416,0.017036,58.70
227041,1.0580,0.016444,60.81
227042,1.0748,0.016863,59.30
227043,1.0917,0.016756,59.68
227044,1.1086,0.016950,59.00
227045,1.1255,0.016950,59.00
227046,1.1423,0.016753,59.69
227047,1.1592,0.016841,59.38
227048,1.1760,0.016880,59.24
227049,1.1932,0.017257,57.95
227050,1.2096,0.016315,61.29
227051,1.2267,0.017040,58.68
227052,1.2435,0.016896,59.19
227053,1.2603,0.016736,59.75
227054,1.2775,0.017220,58.07
227055,1.2942,0.016743,59.73
227056,1.3112,0.016888,59.21
227057,1.3286,0.017450,57.31
227058,1.3447,0.016217,61.66
227059,1.3618,0.017036,58.70
227060,1.3787,0.016894,59.19
227061,1.3954,0.016641,60.09
227062,1.4122,0.016878,59.25
227063,1.4292,0.016964,58.95
227064,1.4464,0.017265,57.92
227065,1.4626,0.016188,61.78
227066,1.4796,0.017028,58.73
227067,1.4965,0.016849,59.35
227068,1.5134,0.016904,59.16
227069,1.5302,0.016764,59.65
227070,1.5471,0.016915,59.12
227071,1.5638,0.016790,59.56
227072,1.5808,0.016924,59.09
227073,1.5979,0.017117,58.42
227074,1.6146,0.016651,60.06
227075,1.6315,0.016905,59.16
227076,1.6488,0.017377,57.55
227077,1.6652,0.016280,61.43
227078,1.6819,0.016763,59.66
227079,1.6989,0.016935,59.05
227080,1.7157,0.016847,59.36
227081,1.7327,0.016973,58.92
227082,1.7499,0.017191,58.17
227083,1.7666,0.016733,59.76
227084,1.7836,0.017021,58.75
227085,1.8003,0.016725,59.79
227086,1.8171,0.016830,59.42
227087,1.8341,0.016980,58.89
227088,1.8513,0.017119,58.41
227089,1.8678,0.016513,60.56
227090,1.8845,0.016699,59.88
227091,1.9014,0.016935,59.05
227092,1.9182,0.016824,59.44
227093,1.9352,0.016971,58.93
227094,1.9519,0.016711,59.84
227095,1.9688,0.016794,59.55
227096,1.9856,0.016948,59.00
227097,2.0026,0.016851,59.34
227098,2.0197,0.017093,58.51
227099,2.0364,0.016736,59.75
227100,2.0531,0.016722,59.80
227101,2.0702,0.017081,58.55
227102,2.0870,0.016916,59.12
227103,2.1040,0.016951,58.99
227104,2.1210,0.016948,59.00
227105,2.1379,0.016996,58.84
227106,2.1547,0.016684,59.94
227107,2.1715,0.016832,59.41
227108,2.1882,0.016809,59.49
227109,2.2052,0.016957,58.97
227110,2.2217,0.016432,60.86
227111,2.2388,0.017123,58.40
227112,2.2557,0.016981,58.89
227113,2.2725,0.016749,59.71
227114,2.2893,0.016844,59.37
227115,2.3062,0.016802,59.52
227116,2.3230,0.016783,59.59
227117,2.3397,0.016804,59.51
227118,2.3567,0.016902,59.16
227119,2.3733,0.016699,59.88
227120,2.3904,0.017027,58.73
227121,2.4069,0.016464,60.74
227122,2.4240,0.017096,58.49
227123,2.4410,0.017088,58.52
227124,2.4575,0.016538,60.47
227125,2.4745,0.016937,59.04
227126,2.4913,0.016877,59.25
227127,2.5082,0.016831,59.41
227128,2.5251,0.016939,59.03
227129,2.5419,0.016752,59.70
227130,2.5591,0.017190,58.17
227131,2.5756,0.016532,60.49
227132,2.5925,0.016948,59.01
227133,2.6093,0.016666,60.00
227134,2.6259,0.016583,60.30
227135,2.6429,0.017148,58.32
227136,2.6598,0.016854,59.33
227137,2.6766,0.016858,59.32
227138,2.6937,0.017019,58.76
227139,2.7106,0.016856,59.33
227140,2.7275,0.017012,58.78
227141,2.7444,0.016770,59.63
227142,2.7611,0.016748,59.71
227143,2.7781,0.017029,58.72
227144,2.7949,0.016782,59.59
227145,2.8115,0.016690,59.92
227146,2.8290,0.017416,57.42
227147,2.8453,0.016366,61.10
227148,2.8622,0.016866,59.29
227149,2.8790,0.016749,59.71
227150,2.8959,0.016868,59.28
227151,2.9127,0.016847,59.36
227152,2.9298,0.017064,58.60
227153,2.9463,0.016542,60.45
227154,2.9636,0.017336,57.68
227155,2.9800,0.016328,61.24
227156,2.9969,0.016926,59.08
227157,3.0138,0.016896,59.19
227158,3.0304,0.016648,60.07
227159,3.0476,0.017202,58.13
227160,3.0645,0.016834,59.40
227161,3.0815,0.017022,58.75
227162,3.0983,0.016799,59.53
227163,3.1149,0.016580,60.31
227164,3.1317,0.016886,59.22
227165,3.1487,0.016959,58.97
227166,3.1655,0.016775,59.61
227167,3.1823,0.016718,59.82
227168,3.1992,0.017016,58.77
227169,3.2158,0.016609,60.21
227170,3.2332,0.017278,57.88
227171,3.2496,0.016543,60.45
227172,3.2671,0.017463,57.26
227173,3.2836,0.016467,60.73
227174,3.3003,0.016723,59.80
227175,3.3173,0.016994,58.84
227176,3.3340,0.016665,60.01
227177,3.3508,0.016879,59.24
227178,3.3678,0.016911,59.13
227179,3.3844,0.016616,60.18
227180,3.4012,0.016912,59.13
227181,3.4183,0.017016,58.77
227182,3.4351,0.016776,59.61
227183,3.4520,0.016929,59.07
227184,3.4696,0.017628,56.73
227185,3.4863,0.016675,59.97
227186,3.5028,0.016453,60.78
227187,3.5195,0.016815,59.47
227188,3.5366,0.017049,58.65
227189,3.5533,0.016771,59.63
227190,3.5703,0.016864,59.30
227191,3.5870,0.016834,59.41
227192,3.6044,0.017265,57.92
227193,3.6213,0.016982,58.89
227194,3.6376,0.016232,61.61
227195,3.6548,0.017227,58.05
227196,3.6714,0.016561,60.38
227197,3.6884,0.017015,58.77
227198,3.7056,0.017197,58.15
227199,3.7225,0.017017,58.77
227200,3.7396,0.017017,58.77
227201,3.7566,0.016970,58.93
227202,3.7734,0.016841,59.38
227203,3.7903,0.016881,59.24
227204,3.8073,0.016946,59.01
227205,3.8246,0.017321,57.73
227206,3.8407,0.016141,61.95
227207,3.8577,0.016928,59.08
227208,3.8744,0.016811,59.48
227209,3.8912,0.016832,59.41
227210,3.9083,0.017028,58.73
